,HerbTopicPair,Text,Medical,IsHarm,Herb
0,"('Agastache rugosa', 'Uses')","The plant's Korean name is baechohyang (   ), but it is more commonly known as banga (  ) in southern parts of Korea, where the herb is extensively cultivated and consumed. In southern Korean cuisine, the herb is a popular last minute addition to various dishes, such as chueo-tang (pond loach stew), and maeun-tang (spicy fish stew). It is also sometimes used as the main ingredient in buchimgae (Korean pancakes). 
 It is called hu  xi ng (Chinese:   ) in Chinese and it is one of the 50 fundamental herbs used in traditional Chinese medicine. It is used interchangeably with guang huo xiang. It was traditionally used to relieve nausea, vomiting and poor appetite. It contains methyl chavicol, anethole, anisaldehyde, limonene, pinene and linalool.",Desire for food*C0003618|Nausea*C0027497|Vomiting*C0042963,['NO_MATCH'],Agastache rugosa
1,"('Alangium chinense', 'Traditional uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine. In Hunan herbal medicine it is used for snake bites, circulation, contraception, hemostasis, numbness, poison, rheumatism, and wounds.",Hypesthesia*C0020580|Snake Bites*C0037379|Collagen Diseases*C0009326|Hemostatic function*C0019116|Rheumatism*C0035435|Injury wounds*C0043250,['NO_MATCH'],Alangium chinense
2,"('Anisodus tanguticus', 'Traditional medicine')","Anisodus tanguticus (Chinese:    ; pinyin: sh n l ng d ng) is one of the 50 fundamental herbs used in traditional Chinese medicine.
It contains high levels of the tropane alkaloids  hyoscyamine and scopolamine, which affect primarily the parasympathetic nervous system and can act as anticholinergic agents.",Affect (mental function)*C0001721,['NO_MATCH'],Anisodus tanguticus
3,"('Anisodus tanguticus', 'Pharmaceutical use')","Anisodus tanguticus is grown and harvested in order to extract two alkaloids, anisodamine and anisodine, which can be obtained from the roots of the plant.  These alkaloids are used as anticholinergic drugs in China for acute circulatory shock.  Anisodamine in particular was introduced into clinical use in China in 1965 through the manufacture of a synthetic drug that concentrated the alkaloids from the plant. It was first used to treat epidemic meningitis, but was later used to treat other ailments, including glomerulonephritis, rheumatoid arthritis, hemorrhagic necrotic enteritis, eclampsia, pulmonary edema, and circulatory shock. 
Anisodamine has also been found to be highly beneficial in cases of noise-induced hearing loss, dilating the capillaries and improving microcirculation in the bony labyrinth; while Anisodine has been used clinically for migraine and diseases of the fundus occuli due to vasospasm.",Glomerulonephritis*C0017658|Meningococcal meningitis*C0025294|Shock*C0036974|Eclampsia*C0013537|Rheumatoid Arthritis*C0003873|Enteritis*C0014335|Pulmonary Edema*C0034063|Necrosis*C0027540|Hemorrhage*C0019080|Noise-induced hearing loss*C0018781|Migraine Disorders*C0149931|gastric fundus*C0017129|Blood capillaries*C0006901|Vascular constriction (function)*C0042396|Microcirculation*C0025962|Structure of fundus of eye*C0016823|Disease*C0012634|Bony labyrinth structure*C0458699|fundus uteri*C0227817,['NO_MATCH'],Anisodus tanguticus
4,"('Astragalus propinquus', 'Herbalism')","A. propinquus is used in traditional Chinese medicine (TCM).  A. propinquus is an component in Lectranal, a food supplement used in treatment of seasonal allergic rhinitis, though there is limited evidence of its effectiveness.",Hay fever*C0018621,['NO_MATCH'],Astragalus propinquus
5,"('Astragalus propinquus', 'Toxicology')","While several other species of Astragalus are known to cause severe poisonings in livestock due to indolizine alkaloids, aliphatic nitro compounds, and accumulated selenium, none of these constituents have been detected in Astragalus propinquus used in dietary supplements and TCM preparations.",Poisoning*C0032343,"["" 'toxicology'""]",Astragalus propinquus
6,"('Camellia sinensis', 'Nomenclature and taxonomy')","The generic name Camellia is taken from the Latinized name of Rev. Georg Kamel, SJ (1661 1706), a Moravian-born Jesuit lay brother, pharmacist, and missionary to the Philippines.
Carl Linnaeus chose his name in 1753 for the genus to honor Kamel's contributions to botany (although Kamel did not discover or name this plant, or any Camellia, and Linnaeus did not consider this plant a Camellia but a Thea).Robert Sweet shifted all formerly Thea species to the genus Camellia in 1818. The name sinensis means ""from China"" in Latin.
Four varieties of C. sinensis are recognized.  Of these, C. sinensis var. sinensis and C. s. var. assamica (JW Masters) Kitamura are most commonly used for tea, and C. s. var. pubilimba Hung T. Chang and C. s. var. dehungensis (Hung T. Chang & BH Chen) TL Ming are sometimes used locally. The Cambod type tea (C. assamica subsp. lasiocaly) was originally considered a type of assam tea. However, later genetic work showed that it is a hybrid between Chinese small leaf tea and assam type tea.Tea plants are native to East Asia, and probably originated in the borderlands of north Burma and southwestern China.
Chinese (small leaf) tea [C. sinensis var. sinensis]
Chinese Western Yunnan Assam (large leaf) tea [C. sinensis var. assamica]
Indian Assam (large leaf) tea [C. sinensis var. assamica]
Chinese Southern Yunnan Assam (large leaf) tea [C. sinensis var. assamica]Chinese (small leaf) type tea may have originated in southern China possibly with hybridization of unknown wild tea relatives. However, since no wild populations of this tea are known, the precise location of its origin is speculative.Given their genetic differences forming distinct clades, Chinese Assam type tea (C. s. var. assamica) may have two different parentages   one being found in southern Yunnan (Xishuangbanna, Pu'er City) and the other in western Yunnan (Lincang, Baoshan). Many types of Southern Yunnan Assam tea have been hybridized with the closely related species Camellia taliensis. Unlike Southern Yunnan Assam tea, Western Yunnan Assam tea shares many genetic similarities with Indian Assam type tea (also C. s. var. assamica). Thus, Western Yunnan Assam tea and Indian Assam tea both may have originated from the same parent plant in the area where southwestern China, Indo-Burma, and Tibet meet. However, as the Indian Assam tea shares no haplotypes with Western Yunnan Assam tea, Indian Assam tea is likely to have originated from an independent domestication. Some Indian Assam tea appears to have hybridized with the species Camellia pubicosta.Assuming a generation of 12 years, Chinese small leaf tea is estimated to have diverged from Assam tea around 22,000 years ago, while Chinese Assam tea and Indian Assam tea diverged 2,800 years ago. This divergence tea would correspond to the last glacial maximum.Chinese small leaf type tea was introduced into India in 1836 by the British and some Indian Assam type tea (e.g. Darjeeling tea) appear to be genetic hybrids of Chinese small leaf type tea, native Indian Assam, and possibly also closely related wild tea species.",Childbirth*C1148523|Crossbreeding*C0020202|Haplotypes*C0018591,['NO_MATCH'],Camellia sinensis
7,"('Camellia sinensis', 'Health effects')","Although health benefits have been assumed throughout the history of using tea as a common beverage,  no high-quality evidence shows that tea confers significant benefits. In clinical research over the early 21st century, tea has been studied extensively for its potential to lower the risk of human diseases, but none of this research is conclusive as of 2017.",Disease*C0012634,"["" 'health effects'""]",Camellia sinensis
8,"('Cannabis sativa', 'Pharmacology')","Although the main psychoactive constituent of Cannabis is tetrahydrocannabinol (THC), the plant is known to contain more than 500 compounds, among them at least 113 cannabinoids; however, most of these ""minor"" cannabinoids are only produced in trace amounts. Besides THC, another cannabinoid produced in high concentrations by some plants is cannabidiol (CBD), which is not psychoactive but has recently been shown to block the effect of THC in the nervous system. Differences in the chemical composition of Cannabis varieties may produce different effects in humans. Synthetic THC, called dronabinol, does not contain cannabidiol (CBD), cannabinol (CBN), or other cannabinoids, which is one reason why its pharmacological effects may differ significantly from those of natural Cannabis preparations.",Cardiac Arrest*C0018790|Neurological observations*C0422837|Mental concentration*C0086045|chemical composition*C0243176,['NO_MATCH'],Cannabis sativa
9,"('Cannabis sativa', 'Common uses')","Cannabis sativa seeds are chiefly used to make hempseed oil which can be used for cooking, lamps, lacquers, or paints. They can also be used as caged-bird feed, as they provide a source of nutrients for most animals. The flowers and fruits (and to a lesser extent the leaves, stems, and seeds) contain psychoactive chemical compounds known as cannabinoids that are consumed for recreational, medicinal, and spiritual purposes. When so used, preparations of flowers and fruits (called marijuana) and leaves and preparations derived from resinous extract (e.g., hashish) are consumed by smoking, vaporising, and oral ingestion. Historically, tinctures, teas, and ointments have also been common preparations. In traditional medicine of India in particular C. sativa has been used as hallucinogenic, hypnotic, sedative, analgesic, and anti-inflammatory agent.",Hashish*C0018613|Tobacco smoking behavior*C0453996|Smoking*C0037369,['NO_MATCH'],Cannabis sativa
