Herb id,MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,url
SMHB00001,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00067,Cough Productive,,C0239134,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00083,"Sputums, Induced",A12.200.808,C3179346,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00112,Rheumatism,C05.799|C17.300.775,C0035435,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00192,Abdominal Pain,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,C0000737,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00224,Caustic Injury,,C0854388,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00332,Jaundice,C23.550.429.500|C23.888.885.375,C0022346,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00398,Arthritic Pains,,C0857177,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00403,Cough,C08.618.248|C23.888.852.293,C0010200,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00496,Gasping,,C0425449,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00509,Bronchial Asthma,C08.127.108|C08.381.495.108|C08.674.095|C20.543.480.680.095,C0004096,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00534,Sputum,A12.200.808,C0038056,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00827,Menopause,G08.686.157.500|G08.686.841.249.500,C0025320,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00898,Cough Persistent,,C0562483,https://www.symmap.org/detail/SMHB00001
SMHB00001,SMMS00934,Sputum Purulent,,C0241235,https://www.symmap.org/detail/SMHB00001
SMHB00002,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00022,Haemorrhage Ant Chamber Eye,C11.290.484|C23.550.414.756.550,C0020581,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00042,Hemorrhage,C23.550.414,C0019080,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00128,Polymenorrhea,C23.550.568,C0032519,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00192,Abdominal Pain,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,C0000737,https://www.symmap.org/detail/SMHB00002
