,ConditionId,name_used,summary,url,toc
abdominal colic,114,Horse colic,"Colic in horses is defined as abdominal pain, but it is a clinical symptom rather than a diagnosis. The term colic can encompass all forms of gastrointestinal conditions which cause pain as well as other causes of abdominal pain not involving the gastrointestinal tract. The most common forms of colic are gastrointestinal in nature and are most often related to colonic disturbance. There are a variety of different causes of colic, some of which can prove fatal without surgical intervention. Colic surgery is usually an expensive procedure as it is major abdominal surgery, often with intensive aftercare. Among domesticated horses, colic is the leading cause of premature death. The incidence of colic in the general horse population has been estimated between 4 and 10 percent over the course of the average lifespan. Clinical signs of colic generally require treatment by a veterinarian.",https://en.wikipedia.org/wiki/Horse_colic,"[('Pathophysiology', 'Simple obstruction'), ('Pathophysiology', 'Strangulating obstruction'), ('Pathophysiology', 'Non-strangulating infarction'), ('Pathophysiology', 'Inflammation or ulceration of the gastrointestinal tract'), ('Types', 'Gas and spasmodic colic'), ('Types', 'Impaction', 'Pelvic flexure impaction'), ('Types', 'Impaction', 'Ileal impaction and ileal hypertrophy'), ('Types', 'Impaction', 'Sand impaction'), ('Types', 'Impaction', 'Cecal impaction'), ('Types', 'Impaction', 'Gastric impaction'), ('Types', 'Impaction', 'Small colon impaction'), ('Types', 'Impaction', 'Large colon impaction'), ('Types', 'Impaction', 'Enteroliths and fecaliths'), ('Types', 'Displacement'), ('Types', 'Torsion and volvulus'), ('Types', 'Intussusception'), ('Types', 'Entrapment', 'Epiploic foramen entrapment'), ('Types', 'Entrapment', 'Mesenteric rent entrapment'), ('Types', 'Inflammatory and ulcerative conditions', 'Proximal enteritis'), ('Types', 'Inflammatory and ulcerative conditions', 'Colitis'), ('Types', 'Inflammatory and ulcerative conditions', 'Gastric ulceration'), ('Types', 'Inflammatory and ulcerative conditions', 'Right dorsal colitis'), ('Types', 'Tumors', 'Strangulating pedunculated lipoma'), ('Types', 'Tumors', 'Other cancers'), ('Types', 'Ileus'), ('Types', 'Parasites', 'Ascarids (roundworms)'), ('Types', 'Parasites', 'Tapeworms'), ('Types', 'Parasites', 'Cyathostomes'), ('Types', 'Parasites', 'Large strongyles'), ('Types', 'Foal colic', 'Meconium impactions'), ('Types', 'Foal colic', 'Lethal white syndrome'), ('Types', 'Foal colic', 'Congenital abnormalities'), ('Types', 'Foal colic', 'Infectious organisms'), ('Types', 'Herniation', 'Inguinal herniation'), ('Types', 'Herniation', 'Umbilical herniation'), ('Types', 'Herniation', 'Diaphragmatic herniation'), ('Types', 'Toxins'), ('Types', 'Uterine tears and torsions'), ('Types', 'Other causes that may show clinical signs of colic'), ('Diagnosis', 'History'), ('Diagnosis', 'Physical examination'), ('Diagnosis', 'Rectal examination'), ('Diagnosis', 'Nasogastric intubation'), ('Diagnosis', 'Auscultation'), ('Diagnosis', 'Abdominal ultrasound'), ('Diagnosis', 'Abdominocentesis (belly tap)'), ('Diagnosis', 'Abdominal distension'), ('Diagnosis', 'Fecal examination'), ('Diagnosis', 'Radiography, gastroscopy, and laparoscopy', 'Radiography'), ('Diagnosis', 'Radiography, gastroscopy, and laparoscopy', 'Gastroscopy'), ('Diagnosis', 'Radiography, gastroscopy, and laparoscopy', 'Laparoscopy'), ('Diagnosis', 'Rectal biopsy'), ('Clinical signs', 'General'), ('Medical management', 'Analgesia and sedation'), ('Medical management', 'Nasogastric intubation and gastric decompression'), ('Medical management', 'Fluid support'), ('Medical management', 'Intestinal lubricants and laxatives'), ('Medical management', 'Nutritional support'), ('Medical management', 'Endotoxemia prevention'), ('Medical management', 'Case-specific drug treatment'), ('Surgical intervention', 'Survival rates'), ('Surgical intervention', 'Adhesion formation'), ('Surgical intervention', 'Post-operative care'), ('Prevention',), ('References',), ('Further reading',), ('External links',)]"
abdominal pain,115,Abdominal pain,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues.
Common causes of pain in the abdomen include gastroenteritis and irritable bowel syndrome. About 15% of people have a more serious underlying condition such as appendicitis, leaking or ruptured abdominal aortic aneurysm, diverticulitis, or ectopic pregnancy. In a third of cases the exact cause is unclear.Given that a variety of diseases can cause some form of abdominal pain, a systematic approach to examination of a person and the formulation of a differential diagnosis remains important.",https://en.wikipedia.org/wiki/Abdominal_pain,"[('Differential diagnosis', 'Acute abdominal pain', 'Selected causes'), ('Differential diagnosis', 'By system'), ('Differential diagnosis', 'By location'), ('Pathophysiology',), ('Diagnostic approach',), ('Management', 'Emergencies'), ('Epidemiology',), ('References',)]"
ability,463,Aptitude,"An aptitude is a component of a competence to do a certain kind of work at a certain level. Outstanding aptitude can be considered ""talent"". An aptitude may be physical or mental. Aptitude is inborn potential to do certain kinds of work whether developed or undeveloped. Ability is developed knowledge, understanding, learnt or acquired abilities (skills) or attitude. The innate nature of aptitude is in contrast to skills and achievement, which represent knowledge or ability that is gained through learning.According to Gladwell (2008) and Colvin (2008),  often it is difficult to set apart an outstanding performance due merely to talent or stemming from hard training. Talented people as a rule show high results immediately in few kinds of activity, but often only in a single direction or genre.",https://en.wikipedia.org/wiki/Aptitude,"[('Intelligence and aptitude',), ('Combined aptitude and knowledge tests',), ('See also',), ('References',), ('Bibliography',)]"
abnormal red blood cell,655,Red blood cell indices,Red blood cell indices are blood tests that provide information about the hemoglobin content and size of red blood cells.  Abnormal values indicate the presence of anemia and which type of anemia it is.,https://en.wikipedia.org/wiki/Red_blood_cell_indices,"[('Mean corpuscular volume',), ('Mean corpuscular hemoglobin',), ('Mean corpuscular hemoglobin concentration',), ('Worked example',)]"
abscess,220,Abscess,"Signs and symptoms of abscesses include redness, pain, warmth, and swelling.
The area of redness often extends beyond the swelling.
Carbuncles and boils are types of abscess that often involve hair follicles, with carbuncles being larger.They are usually caused by a bacterial infection.
Often many different types of bacteria are involved in a single infection.
In the United States and many other areas of the world the most common bacteria present is methicillin-resistant Staphylococcus aureus.
Diagnosis of a skin abscess is usually made based on what it looks like and is confirmed by cutting it open.
In abscesses around the anus, computer tomography (CT) may be important to look for deeper infection.Standard treatment for most skin or soft tissue abscesses is cutting it open and drainage.
In 2005 in the United States, 3.2 million people went to the emergency department for an abscess.",https://en.wikipedia.org/wiki/Abscess,"[('Signs and symptoms',), ('Causes', 'Perianal abscess'), ('Causes', 'Incisional abscess'), ('Pathophysiology',), ('Diagnosis', 'Classification'), ('Diagnosis', 'IV drug use'), ('Diagnosis', 'Differential'), ('Treatment', 'Incision and drainage'), ('Treatment', 'Antibiotics'), ('Treatment', 'Packing'), ('Treatment', 'Loop drainage'), ('Treatment', 'Primary closure'), ('Prognosis',), ('Epidemiology',), ('Society and culture', 'Etymology'), ('Other types',), ('References',), ('External links',)]"
ache,670,Acetylcholinesterase,"Acetylcholinesterase (HGNC symbol ACHE; EC 3.1.1.7), also known as AChE or acetylhydrolase, is the primary cholinesterase in the body. It is an enzyme that catalyzes the breakdown of acetylcholine and of some other choline esters that function as neurotransmitters. AChE is found at mainly neuromuscular junctions and in chemical synapses of the cholinergic type, where its activity serves to terminate synaptic transmission. It belongs to carboxylesterase family of enzymes. It is the primary target of inhibition by organophosphorus compounds such as nerve agents and pesticides.",https://en.wikipedia.org/wiki/Acetylcholinesterase,"[('Enzyme structure and mechanism',), ('Biological function',), ('Disease relevance',), ('Distribution',), ('AChE gene', 'AChET'), ('AChE gene', 'AChEH'), ('AChE gene', 'AChER'), ('Nomenclature',), ('Inhibitors',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
"acidosis, lactic",637,Lactic acidosis,"Lactic acidosis is a medical condition characterized by the buildup of lactate (especially L-lactate) in the body, with formation of an excessively low pH in the bloodstream.
It is a form of metabolic acidosis, in which excessive acid accumulates due to a problem with the body's oxidative metabolism.
Lactic acidosis is typically the result of an underlying acute or chronic medical condition, medication, or poisoning.
The diagnosis is made on biochemical analysis of blood (often initially on arterial blood gas samples), and once confirmed, generally prompts an investigation to establish the underlying cause to treat the acidosis.
In some situations, hemofiltration (purification of the blood) is temporarily required.
In rare chronic forms of lactic acidosis caused by mitochondrial disease, a specific diet or dichloroacetate may be used.
The prognosis of lactic acidosis depends largely on the underlying cause; in some situations (such as severe infections), it indicates an increased risk of death.",https://en.wikipedia.org/wiki/Lactic_acidosis,"[('Classification',), ('Signs and symptoms',), ('Causes',), ('Pathophysiology',), ('Diagnosis',), ('Treatment',), ('Prognosis',), ('Other animals', 'Reptiles'), ('Other animals', 'Ruminants'), ('References',)]"
acne,60,Acne,"The resulting appearance can lead to anxiety, reduced self-esteem and, in extreme cases, depression or thoughts of suicide.Genetics is thought to be the primary cause of acne in 80% of cases.
Another frequent factor is excessive growth of the bacterium Cutibacterium acnes, which is normally present on the skin.Many treatment options for acne are available, including lifestyle changes, medications, and medical procedures.
Treatments applied directly to the affected skin, such as azelaic acid, benzoyl peroxide, and salicylic acid, are commonly used.
Antibiotics and retinoids are available in formulations that are applied to the skin and taken by mouth for the treatment of acne.
Early and aggressive treatment of acne is advocated by some in the medical community to decrease the overall long-term impact to individuals.In 2015, acne was estimated to affect 633 million people globally, making it the eighth most common disease worldwide.
Acne commonly occurs in adolescence and affects an estimated 80–90% of teenagers in the Western world.",https://en.wikipedia.org/wiki/Acne,"[('Classification',), ('Signs and symptoms', 'Scars'), ('Signs and symptoms', 'Pigmentation'), ('Causes', 'Genes'), ('Causes', 'Hormones'), ('Causes', 'Infections'), ('Causes', 'Diet'), ('Causes', 'Stress'), ('Causes', 'Environmental factors'), ('Causes', 'Medications'), ('Pathophysiology',), ('Diagnosis', 'Differential diagnosis'), ('Management', 'Skin care'), ('Management', 'Diet'), ('Management', 'Medications', 'Benzoyl peroxide'), ('Management', 'Medications', 'Retinoids'), ('Management', 'Medications', 'Antibiotics'), ('Management', 'Medications', 'Hormonal agents'), ('Management', 'Medications', 'Azelaic acid'), ('Management', 'Medications', 'Salicylic acid'), ('Management', 'Medications', 'Other medications'), ('Management', 'Medications', 'Combination therapy'), ('Management', 'Pregnancy'), ('Management', 'Procedures'), ('Management', 'Alternative medicine'), ('Management', 'Self-care'), ('Prognosis',), ('Epidemiology',), ('History',), ('Society and culture',), ('Research',), ('Other animals',), ('References',), ('Further reading',), ('External links',)]"
acne vulgaris,61,Acne,"The resulting appearance can lead to anxiety, reduced self-esteem and, in extreme cases, depression or thoughts of suicide.Genetics is thought to be the primary cause of acne in 80% of cases.
Another frequent factor is excessive growth of the bacterium Cutibacterium acnes, which is normally present on the skin.Many treatment options for acne are available, including lifestyle changes, medications, and medical procedures.
Treatments applied directly to the affected skin, such as azelaic acid, benzoyl peroxide, and salicylic acid, are commonly used.
Antibiotics and retinoids are available in formulations that are applied to the skin and taken by mouth for the treatment of acne.
Early and aggressive treatment of acne is advocated by some in the medical community to decrease the overall long-term impact to individuals.In 2015, acne was estimated to affect 633 million people globally, making it the eighth most common disease worldwide.
Acne commonly occurs in adolescence and affects an estimated 80–90% of teenagers in the Western world.",https://en.wikipedia.org/wiki/Acne,"[('Classification',), ('Signs and symptoms', 'Scars'), ('Signs and symptoms', 'Pigmentation'), ('Causes', 'Genes'), ('Causes', 'Hormones'), ('Causes', 'Infections'), ('Causes', 'Diet'), ('Causes', 'Stress'), ('Causes', 'Environmental factors'), ('Causes', 'Medications'), ('Pathophysiology',), ('Diagnosis', 'Differential diagnosis'), ('Management', 'Skin care'), ('Management', 'Diet'), ('Management', 'Medications', 'Benzoyl peroxide'), ('Management', 'Medications', 'Retinoids'), ('Management', 'Medications', 'Antibiotics'), ('Management', 'Medications', 'Hormonal agents'), ('Management', 'Medications', 'Azelaic acid'), ('Management', 'Medications', 'Salicylic acid'), ('Management', 'Medications', 'Other medications'), ('Management', 'Medications', 'Combination therapy'), ('Management', 'Pregnancy'), ('Management', 'Procedures'), ('Management', 'Alternative medicine'), ('Management', 'Self-care'), ('Prognosis',), ('Epidemiology',), ('History',), ('Society and culture',), ('Research',), ('Other animals',), ('References',), ('Further reading',), ('External links',)]"
acquired immunodeficiency syndrome,28,HIV/AIDS,"These late symptoms of infection are referred to as acquired immunodeficiency syndrome (AIDS).
Disease in a baby can often be prevented by giving both the mother and child antiretroviral medication.
Without treatment, the average survival time after infection is 11 years.During 2016, about 36.7 million people were living with HIV and it resulted in 1 million deaths.
Between the time that AIDS was identified (in the early 1980s) and 2017, the disease caused an estimated 35 million deaths worldwide.
HIV/AIDS is considered a pandemic—a disease outbreak which is present over a large area and is actively spreading.
AIDS was first recognized by the United States Centers for Disease Control and Prevention (CDC) in 1981 and its cause—HIV infection—was identified in the early part of the decade.
HIV/AIDS has had a large impact on society, both as an illness and as a source of discrimination.",https://en.wikipedia.org/wiki/HIV/AIDS,"[('Signs and symptoms', 'Acute infection'), ('Signs and symptoms', 'Clinical latency'), ('Signs and symptoms', 'Acquired immunodeficiency syndrome'), ('Transmission', 'Sexual'), ('Transmission', 'Body fluids'), ('Transmission', 'Mother-to-child'), ('Virology',), ('Pathophysiology',), ('Diagnosis', 'HIV testing'), ('Diagnosis', 'Classifications'), ('Prevention', 'Sexual contact'), ('Prevention', 'Pre-exposure'), ('Prevention', 'Post-exposure'), ('Prevention', 'Mother-to-child'), ('Prevention', 'Vaccination'), ('Treatment', 'Antiviral therapy'), ('Treatment', 'Opportunistic infections'), ('Treatment', 'Diet'), ('Treatment', 'Alternative medicine'), ('Prognosis',), ('Epidemiology',), ('History', 'Discovery'), ('History', 'Origins'), ('Society and culture', 'Stigma'), ('Society and culture', 'Economic impact'), ('Society and culture', 'Religion and AIDS'), ('Society and culture', 'Media portrayal'), ('Society and culture', 'Criminal transmission'), ('Society and culture', 'Misconceptions'), ('Research',), ('References',), ('External links',)]"
