,new_name
0,activated charcoal
1,alfalfa
2,american ginseng
3,arnica
4,ashwagandha
5,bacillus coagulans
6,bee pollen
7,belladonna
8,berberine
9,beta-carotene
10,bifidobacteria
11,biotin
12,bitter melon
13,black psyllium
14,black tea
15,blessed thistle
16,blond psyllium
17,blueberry
18,blue-green algae
19,boron
20,calendula
21,cannabidiol (cbd)
22,capsicum
23,cascara sagrada
24,chondroitin sulfate
25,clove
26,coconut water
27,cod liver oil
28,creatine
29,deer velvet
30,devil's claw
31,dhea
32,dong quai
33,eucalyptus
34,folic acid
35,fucus vesiculosus
36,gelatin
37,glucosamine hydrochloride
38,glucosamine sulfate
39,goji
40,grape
41,grapefruit
42,green coffee
43,guarana
44,gymnema
45,hibiscus
46,honey
47,hops
48,horny goat weed
49,horsetail
50,iodine
51,lactobacillus
52,l-arginine
53,lipase
54,l-tryptophan
55,lutein
56,lycopene
57,maca
58,manganese
59,mangosteen
60,maritime pine
61,methylsulfonylmethane
62,niacin
63,niacinamide
64,oats
65,olive
66,omega-6 fatty acids
67,oregano
68,oscillococcinum
69,palm oil
70,pantothenic acid
71,papaya
72,pau d'arco
73,peanut oil
74,pennyroyal
75,phosphate salts
76,propolis
77,raspberry ketone
78,reishi mushroom
79,resveratrol
80,riboflavin
81,roman chamomile
82,rose hip
83,saccharomyces boulardii
84,senna
85,shark cartilage
86,siberian ginseng
87,slippery elm
88,spearmint
89,stevia
90,thiamine
91,vitamin b6
92,vitamin k
93,whey protein
94,wild yam
95,willow bark
96,yerba mate
97,zinc
98,5-htp
99,silvery wormwood leaf
100,croton fruit
101,morinda root
102,star anise
103,hyacinth bean
104,ginkgo nut
105,lily bulb
106,cogongrass rhizome
107,snow ear mushroom
108,white peony root
109,atractylodes rhizome
110,swallow-wort root
111,dittany root bark
112,angelica root
113,woad root
114,crow-dipper rhizome
115,glehnia root
116,long pepper
117,castor bean
118,areca nut
119,borneol
120,wild mint
121,biota seed
122,shiral leaf
123,tsaoko fruit
124,bupleurum root
125,tangerine peel
126,agarwood
127,red peony root
128,adzuki bean
129,fritillary bulb
130,szechuan lovage root
131,scallion
132,rhubarb
133,japanese thistle
134,woad leaf
135,jujube date
136,bitter orange flower
137,fermented soybean
138,red sage root
139,lophatherum herb
140,codonopsis root
141,sword bean
142,unprepared rehmannia
143,clove
144,cordyceps
145,wax gourd
146,pubescent angelica root
147,alexandrian senna leaf
148,saposhnikovia root
149,stephania root
150,chinese nutmeg yew
151,honeycomb
152,buddha's hand
153,poria-cocos mushroom
154,palmleaf raspberry
155,liquorice
156,dried ginger
157,lesser galangal rhizome
158,kudzu root
159,goji berry
160,gambir stem and thorn
161,snake gourd
162,cinnamon twig
163,clam shell
164,sargassum
165,fleeceflower root
166,lotus leaf
167, black sesame seed
168,safflower
169,rhodiola root
170,houpu magnolia flower
171,houpu magnolia bark
172,mistletoe
173,black pepper
174,fenugreek seed
175,coriander
176,sichuan pepper
177,talc
178,pagoda tree flower
179,brown mustard seed
180,king solomon's seal root
181,goldthread rhizome
182,milkvetch root
183,baikal skullcap root
184,hemp seed
185,korean mint
186,turmeric
187,platycodon root
188,gold coin herb
189,perennial buckwheat root
190,honeysuckle flower
191,cherokee rose fruit
192,garlic chive seed
193,bitter orange seed
194,chrysanthemum flower
195,chicory
196,cassia seed
197,kuding tea
198,sophora root
199,coltsfoot flower
200,radish seed
201,lychee seed
202,lotus receptacle
203,forsythia fruit
204,lotus stamen
205,lotus seed
206,lotus plumule
207,shiny-leaf prickly-ash
208,lingzhi mushroom
209,longan
210,maral root
211,common reed rhizome
212,aloe vera
213,monk fruit
214,verbena leaf
215,purslane
216,ephedra
217,ephedra root
218,dwarf lilyturf root
219,malt
220,rose flower
221,roselle flower bud
222,plum flowers
223,jasmine flower
224,mudan peony bark
225,flowering quince
226,oyster shell
227,costus root
228,pumpkin seeds
229,greater burdock fruit
230,achyranthes root
231,glossy privet fruit
232,lotus root
233,malva nut
234,eupatorium herb
235,loquat leave
236,pu'er tea
237,dandelion
238,foxnut seed
239,notopterygium root
240,chinese white olive
241,sweet wormwood herb
242,ginseng
243,ginseng leaf
244,nutmeg
245,cinnamon bark
246,frankincense
247,tienchi ginseng
248,mulberry bark
249,mulberry fruit
250,mulberry leaf
251,sea buckthorn fruit
252,amomum fruit
253,yam
254,hawthorn berry
255,cornelian cherry
256,medicated leaven
257,fresh ginger
258,bugbane rhizome
259,gypsum
260,dendrobium
261,pomegranate peel
262,prepared rehmannia
263,milk thistle seed
264,sponge gourd
265,jujube seed
266,peach kernel
267,gastrodia rhizome
268,smilax glabra root
269,fameflower root
270,cuscuta seed
271,vaccaria seeds
272,clematis root
273,chinese plum
274,schisandra berry
275,lindera root
276,saffron
277,heal-all spike
278,coco-grass rhizome
279,lemongrass
280,vietnamese balm
281,citron
282,fennel seed
283,field thistle
284,stachyurus stem pith
285,long-stamen onion bulb
286,biond’s magnolia flower
287,apricot seed
288,ningpo figwort root
289,snow lotus
290,stinging nettle leaf
291,flax seed
292,marshmallow root
293,motherwort herb
294, job's tears
295,sharp-leaf galangal fruit
296,virgate wormwood
297,ginkgo leaf
298,emblic
299,turmeric tuber
300,bush cherry pit
301,corn silk
302,houttuynia
303,angular solomon's seal root
304,water plantain
305,camphor
306,pearl
307,prepared aconite
308,japanese raisin tree seed
309,anemarrhena rhizome
310,cape jasmine fruit
311,polyporus
312,perilla leaf
313,perilla seed
314,japanese ardisia herb
315,benzoin
