,name_used,summary
 black sesame seed, black sesame seed,"Sesame (; Sesamum indicum) is a flowering plant in the genus Sesamum, also called benne.
Numerous wild relatives occur in Africa and a smaller number in India.
It is widely naturalized in tropical regions around the world and is cultivated for its edible seeds, which grow in pods.
World production in 2016 was 6.1 million tonnes, with Tanzania, Myanmar, India, and Sudan as the largest producers.Sesame seed is one of the oldest oilseed crops known, domesticated well over 3000 years ago.
Sesamum has many other species, most being wild and native to sub-Saharan Africa.
S. indicum, the cultivated type, originated in India and is tolerant to drought-like conditions, growing where other crops fail.Sesame has one of the highest oil contents of any seed.
With a rich, nutty flavor, it is a common ingredient in cuisines across the world.
Like other nuts and foods, it can trigger allergic reactions in some people."
 job's tears, job's tears,"Job's tears  (US) or Job's-tears (UK), scientific name Coix lacryma-jobi, also known as adlay or adlay millet, is a tall grain-bearing perennial tropical plant of the family Poaceae (grass family).
It is native to Southeast Asia but elsewhere is cultivated in gardens as an annual.
Other common names include coixseed, tear grass and Yi Yi (from Chinese 薏苡 yìyǐ).
Job's tears are also commonly sold as Chinese pearl barley in Asian supermarkets, although C.
lacryma-jobi is not closely related to barley (Hordeum vulgare).
There are two main varieties of the species, one wild and one cultivated.
The wild variety, Coix lacryma-jobi var.
lacryma-jobi, has hard-shelled pseudocarps—very hard, pearly white, oval structures used as beads for making rosaries, necklaces, and other objects.
The cultivated variety Coix lacryma-jobi var.
ma-yuen is harvested as a cereal crop, has a soft shell, and is used medicinally in parts of Asia."
5-htp,5-htp,"5-Hydroxytryptophan (5-HTP), also known as oxitriptan, is a naturally occurring amino acid and chemical precursor as well as a metabolic intermediate in the biosynthesis of the neurotransmitter serotonin."
abrus precatorius l.,abrus precatorius l.,"Abrus precatorius, commonly known as jequirity bean or rosary pea, is a herbaceous flowering plant in the bean family Fabaceae. It is a slender, perennial climber with long, pinnate-leafleted leaves that twines around trees, shrubs, and hedges. 
The plant is best known for its seeds, which are used as beads and in percussion instruments, and which are toxic because of the presence of abrin. Ingestion of a single seed, well chewed, can be fatal to both adults and children. The plant is native to Asia and Australia. It has a tendency to become weedy and invasive where it has been introduced.

"
achyranthes root,achyranthes root,"Achyranthes bidentata Blume (English common name:  ox knee, Chinese:  niu xi) is a species of flowering plant in the amaranth family, Amaranthaceae. It occurs in India, Nepal, China, and Japan.  It is the source of  the Chinese herbal medicine huái niú xī.  In Nepal its root juice is used for toothache.  Its seeds have been used as a substitute for cereal grains in famine years. The plant is used externally in the treatment of leech bites in Mizoram, India and a decoction as a diuretic."
actinidia chinensis planch,actinidia chinensis planch,"Actinidia chinensis (Planch.) is a fruit producing vine, one of some 40 related species of the genus, Actinidia, native to China. A. chinensis is a variety closely related to Actinidia deliciosa – and is the source of the common commercial kiwifruit. Fruit colour may vary from green to lime green or gold, depending on breeding."
activated charcoal,activated charcoal,"Activated carbon, also called activated charcoal, is a form of carbon processed to have small, low-volume pores that increase the surface area available for adsorption   or chemical reactions. Activated is sometimes substituted with active.
Due to its high degree of microporosity, one gram of activated carbon has a surface area in excess of 3,000 m2 (32,000 sq ft) as determined by gas adsorption. An activation level sufficient for useful application may be obtained solely from high surface area. Further chemical treatment often enhances adsorption properties.
Activated carbon is usually derived from charcoal. When derived from coal or corn it is referred to as activated coal. Activated coke is derived from coke."
adzuki bean,adzuki bean,"The adzuki bean (Vigna angularis; from azuki (Japanese: アズキ（小豆）); sometimes transliterated as azuki or adzuki), or English red mung bean, is an annual vine widely cultivated throughout East Asia for its small (approximately 5 millimetres (0.20 in) long) bean. The cultivars most familiar in Northeast Asia have a uniform red color, but white, black, gray, and variously mottled varieties also are known.
Scientists presume Vigna angularis var. nipponensis is the progenitor."
agarwood,agarwood,"Agarwood, aloeswood or gharuwood is a fragrant dark resinous wood used in incense, perfume, and small carvings.
The aromatic qualities of agarwood are influenced by the species, geographic location, its branch, trunk and root origin, length of time since infection, and methods of harvesting and processing.
In 2004, all Aquilaria species were listed in Appendix II; however, a number of countries have outstanding reservations regarding that listing.First-grade agarwood is one of the most expensive natural raw materials in the world, with 2010 prices for superior pure material as high as US$100,000/kg, although in practice adulteration of the wood and oil is common, allowing for prices as low as US$100/kg.
A whole range of qualities and products are on the market, varying in quality with geographical location, botanical species, the age of the specific tree, cultural deposition and the section of the tree where the piece of agarwood stems from."
akebia fruit,akebia fruit,"Akebia is a genus of five species of flowering plant, within the family Lardizabalaceae. The scientific name, akebia, is a Latinization of the Japanese name for species Akebia quinata: akebi (通草)."
