,OriginalName,NameUsed,Url,Toc
 black sesame seed, black sesame seed,Sesame,https://en.wikipedia.org/wiki/Sesame,"[('Etymology',), ('Origins',), ('Botany',), ('Cultivation', 'Processing'), ('Production and trade', 'Trade'), ('Nutritional information', 'Health effects'), ('Chemical composition',), ('Culinary',), ('Gallery',), ('Allergy',), ('In literature',), ('See also',), ('References',), ('External links',)]"
 job's tears, job's tears,Job's tears,https://en.wikipedia.org/wiki/Job%27s_tears,"[('Taxonomy',), ('Uses',), ('References',), ('Further reading',), ('External links',)]"
5-htp,5-htp,5-Hydroxytryptophan,https://en.wikipedia.org/wiki/5-Hydroxytryptophan,"[('Uses',), (""5-HTP's drawbacks as a drug"",), ('Side effects',), ('Interactions',), ('Production',), ('Absorption',), ('Pharmacokinetics',), ('Metabolism',), ('Pharmacology',), ('Regulatory Status',), ('5-HTP Slow-Release',), ('Dietary sources',), ('See also',)]"
abrus precatorius l.,abrus precatorius l.,Abrus precatorius,https://en.wikipedia.org/wiki/Abrus_precatorius,"[('Names',), ('Ecology and invasiveness',), ('Toxin',), ('Uses', 'Jewelry'), ('Uses', 'Unit of measure'), ('Uses', 'As a weapon'), ('Uses', 'In traditional medicine'), ('Laboratory study of extracts',), ('Cultural significance',), ('Gallery',), ('See also',), ('Notes',), ('References',), ('External links',)]"
achyranthes root,achyranthes root,Achyranthes bidentata,https://en.wikipedia.org/wiki/Achyranthes_bidentata,"[('References',), ('External links',)]"
actinidia chinensis planch,actinidia chinensis planch,Actinidia chinensis,https://en.wikipedia.org/wiki/Actinidia_chinensis,"[('Description',), ('Habitat',), ('Origin and cultivation',), ('Uses',), ('References',), ('See also',)]"
activated charcoal,activated charcoal,Activated carbon,https://en.wikipedia.org/wiki/Activated_carbon,"[('Uses', 'Industrial application'), ('Uses', 'Medical uses'), ('Uses', 'Analytical chemistry applications'), ('Uses', 'Environmental applications'), ('Uses', 'Agriculture uses'), ('Uses', 'Distilled alcoholic beverage purification'), ('Uses', 'Fuel storage'), ('Uses', 'Gas purification'), ('Uses', 'Chemical purification'), ('Uses', 'Mercury scrubbing'), ('Production',), ('Classification', 'Powdered activated carbon'), ('Classification', 'Granular activated carbon'), ('Classification', 'Extruded activated carbon (EAC)'), ('Classification', 'Bead activated carbon (BAC)'), ('Classification', 'Impregnated carbon'), ('Classification', 'Polymer coated carbon'), ('Classification', 'Woven carbon'), ('Properties', 'Iodine number'), ('Properties', 'Molasses'), ('Properties', 'Tannin'), ('Properties', 'Methylene blue'), ('Properties', 'Dechlorination'), ('Properties', 'Apparent density'), ('Properties', 'Hardness/abrasion number'), ('Properties', 'Ash content'), ('Properties', 'Carbon tetrachloride activity'), ('Properties', 'Particle size distribution'), ('Modification of properties and reactivity',), ('Examples of adsorption', 'Heterogeneous catalysis'), ('Reactivation and regeneration', 'Thermal reactivation'), ('Reactivation and regeneration', 'Other regeneration techniques'), ('See also',), ('References',), ('External links',)]"
adzuki bean,adzuki bean,Adzuki bean,https://en.wikipedia.org/wiki/Adzuki_bean,"[('Origin and diversity', 'Speciation and domestication'), ('Origin and diversity', 'Breeding'), ('Origin and diversity', 'Weed forms'), ('Names',), ('Cultivation', 'Area and yield'), ('Cultivation', 'Ecological requirements'), ('Cultivation', 'Production'), ('Cultivation', 'Pests and diseases'), ('Botany', 'Roots'), ('Botany', 'Leaves'), ('Botany', 'Flowers'), ('Botany', 'Fruits'), ('Botany', 'Seeds'), ('Botany', 'Physiology'), ('Uses',), ('Nutritional information',), ('Gallery',), ('See also',), ('References',), ('External links',)]"
agarwood,agarwood,Agarwood,https://en.wikipedia.org/wiki/Agarwood,"[('History',), ('Etymology',), ('Formation', 'Composition'), ('Aquilaria species that produce agarwood',), ('Conservation of agarwood-producing species',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
akebia fruit,akebia fruit,Akebia,https://en.wikipedia.org/wiki/Akebia,"[('Species',), ('Hybrids',), ('Fruit',), ('Akebia in Japan',), ('Gallery',), ('References',), ('Further reading',), ('External links',)]"
"akebia, clematis stem","akebia, clematis stem",Clematis,https://en.wikipedia.org/wiki/Clematis,"[('Etymology',), ('Botany',), ('Taxonomy', 'Archiclematis and Naravelia'), ('Taxonomy', 'Species', 'Formerly placed here'), ('Taxonomy', 'Subdivisions'), ('Garden history',), ('Cultivation',), ('Pruning',), ('Cultivars',), ('Horticultural classification',), ('Use and toxicity',), ('Pests and diseases',), ('References',), ('Notes',), ('Further reading',), ('External links',)]"
alexandrian senna leaf,alexandrian senna leaf,Senna alexandrina,https://en.wikipedia.org/wiki/Senna_alexandrina,"[('Names and taxonomy',), ('Medicinal use',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
alfalfa,alfalfa,Alfalfa,https://en.wikipedia.org/wiki/Alfalfa,"[('Etymology',), ('History',), ('Ecology',), ('Culture',), ('Beneficial insects',), ('Pests and diseases',), ('Harvesting',), ('Worldwide production', 'United States'), ('Alfalfa and bees',), ('Varieties', 'Genetic modification', 'Legal issues in the US'), ('Phytoestrogens in alfalfa and effect on livestock fertility',), ('Toxicity of canavanine',), ('Nutritional value', 'Sprouting'), ('Health effects',), ('Gallery',), ('References',), ('External links',)]"
