,Text,UMLS
"('activated charcoal', 'Uses')","Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.One major industrial application involves use of activated carbon in metal finishing for purification of electroplating solutions. For example, it is the main purification technique for removing organic impurities from bright nickel plating solutions. A variety of organic chemicals are added to plating solutions for improving their deposit qualities and for enhancing properties like brightness, smoothness, ductility, etc. Due to passage of direct current and electrolytic reactions of anodic oxidation and cathodic reduction, organic additives generate unwanted breakdown products in solution. Their excessive build up can adversely affect plating quality and physical properties of deposited metal. Activated carbon treatment removes such impurities and restores plating performance to the desired level. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon is used to treat poisonings and overdoses following oral ingestion. Tablets or capsules of activated carbon are used in many countries as an over-the-counter drug to treat diarrhea, indigestion, and flatulence. However, activated charcoal shows no effect on intestinal gas and diarrhea, and is, ordinarily, medically ineffective if poisoning resulted from ingestion of corrosive agents such as alkalis and strong acids, iron, boric acid, lithium, petroleum products, or alcohol. Activated carbon will not prevent these chemicals from being absorbed into the human body.It is particularly ineffective against poisonings of strong acids or alkali, cyanide, iron, lithium, arsenic, methanol, ethanol or ethylene glycol.Incorrect application (e.g. into the lungs) results in pulmonary aspiration, which can sometimes be fatal if immediate medical treatment is not initiated. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon, in 50% w/w combination with celite, is used as stationary phase in low-pressure chromatographic separation of carbohydrates (mono-, di-, tri-saccharides) using ethanol solutions (5 50%) as mobile phase in analytical or preparative protocols.
Activated carbon is useful for extracting the direct oral anticoagulants (DOACs) such as dabigatran, apixaban, rivaroxaban and edoxaban from blood plasma samples . For this purpose it has been made into ""minitablets"", each containing 5mg activated carbon for treating 1ml samples(DOAC Stop, www.haematex.com). Since this activated carbon has no effect on blood clotting factors, heparin or most other anticoagulants  this allows a plasma sample to be analyzed for abnormalities otherwise affected by the DOACs. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Carbon adsorption has numerous applications in removing pollutants from air or water streams both in the field and in industrial processes such as:

Spill cleanup
Groundwater remediation
Drinking water filtration
Air purification
Volatile organic compounds capture from painting, dry cleaning, gasoline dispensing operations, and other processes
Volatile organic compounds recovery (solvent recovery systems, SRU) from flexible packaging, converting, coating, and other processes.During early implementation of the 1974 Safe Drinking Water Act in the US, EPA officials developed a rule that proposed requiring drinking water treatment systems to use granular activated carbon. Because of its high cost, the so-called GAC rule encountered strong opposition across the country from the water supply industry, including the largest water utilities in California. Hence, the agency set aside the rule. Activated carbon filtration is an effective water treatment method due to its multi-functional nature. There are specific types of activated carbon filtration methods and equipment that are indicated   depending upon the contaminants involved.Activated carbon is also used for the measurement of radon concentration in air. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon (charcoal) is an allowed substance used by organic farmers in both livestock production and wine making. In livestock production it is used as a pesticide, animal feed additive, processing aid, nonagricultural ingredient and disinfectant.  In organic winemaking, activated carbon is allowed for use as a processing agent to adsorb brown color pigments from white grape concentrates.
It is sometimes used as biochar. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon filters (AC filters) can be used to filter vodka and whiskey of organic impurities which can affect color, taste, and odor. Passing an organically impure vodka through an activated carbon filter at the proper flow rate will result in vodka with an identical alcohol content and significantly increased organic purity, as judged by odor and taste. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Research is being done testing various activated carbons' ability to store natural gas and hydrogen gas.  The porous material acts like a sponge for different types of gases. The gas is attracted to the carbon material via Van der Waals forces. Some carbons have been able to achieve bonding energies of 5 10 kJ per mol. The gas may then be desorbed when subjected to higher temperatures and either combusted to do work or in the case of hydrogen gas extracted for use in a hydrogen fuel cell. Gas storage in activated carbons is an appealing gas storage method because the gas can be stored in a low pressure, low mass, low volume environment that would be much more feasible than bulky on-board pressure tanks in vehicles. The United States Department of Energy has specified certain goals to be achieved in the area of research and development of nano-porous carbon materials. All of the goals are yet to be satisfied but numerous institutions, including the ALL-CRAFT program, are continuing to conduct work in this promising field. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Filters with activated carbon are usually used in compressed air and gas purification to remove oil vapors, odor, and other hydrocarbons from the air. The most common designs use a 1-stage or 2 stage filtration principle in which activated carbon is embedded inside the filter media.
Activated carbon filters are used to retain radioactive gases within the air vacuumed from a nuclear boiling water reactor turbine condenser. The large charcoal beds adsorb these gases and retain them while they rapidly decay to non-radioactive solid species. The solids are trapped in the charcoal particles, while the filtered air passes through. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon is commonly used on the laboratory scale to purify solutions of organic molecules containing unwanted colored organic impurities.
Filtration over activated carbon is used in large scale fine chemical and pharmaceutical processes for the same purpose. The carbon is either mixed with the solution then filtered off or immobilized in a filter. 
 Activated carbon is used in methane and hydrogen storage, air purification, solvent recovery, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon, often infused with sulfur or iodine, is widely used to trap mercury emissions from coal-fired power stations, medical incinerators, and from natural gas at the wellhead. This carbon is a special product costing more than US$4.00 per kg.Since it is often not recycled, the mercury-laden activated carbon presents a disposal dilemma. If the activated carbon contains less than 260 ppm mercury, United States federal regulations allow it to be stabilized (for example, trapped in concrete) for landfilling. However, waste containing greater than 260 ppm is considered to be in the high-mercury subcategory and is banned from landfilling (Land-Ban Rule). This material is now accumulating in warehouses and in deep abandoned mines at an estimated rate of 100 tons per year.The problem of disposal of mercury-laden activated carbon is not unique to the United States. In the Netherlands, this mercury is largely recovered and the activated carbon is disposed of by complete burning, forming carbon dioxide (CO2).","Solutions,[sbst],27.65,C0037633|Water Purification,[acty],27.26,C0242719|Air (substance),[sbst],16.12,C0001861|Electroplating,[npop],12.88,C0013866|Affect (mental function),[menp],11.49,C0001721|Physical Phenomenon or Property,[npop],3.61,C0597237|Catabolism,[orgf],3.48,C0699900|Diarrhea,[sosy],29.46,C0011991|Water Purification,[acty],27.26,C0242719|Poisoning,[inpo],20.83,C0032343|Drug Overdose,[inpo],17.80,C0029944|Air (substance),[sbst],16.12,C0001861|Dyspepsia,[sosy],14.64,C0013395|Flatulence,[sosy],14.64,C0016204|Lung,[bpoc],13.83,C0024109|Intestines,[bpoc],9.74,C0021853|Water Purification,[acty],27.26,C0242719|Air (substance),[sbst],16.12,C0001861|Pressure- physical agent,[phpr],11.49,C0033095|Solutions,[sbst],6.83,C0037633|Plasma,[bdsu],26.33,C0032105|Affect (mental function),[menp],9.83,C0001721|Congenital Abnormality,[cgab],6.74,C0000768|Air (substance),[sbst],32.74,C0001861|Water Purification,[acty],27.26,C0242719|Drinking Water,[sbst],22.43,C0599638|Streams,[npop],16.30,C0442540|Drinking Water,[sbst],22.46,C0599638|Air (substance),[sbst],16.12,C0001861|Desiccation,[npop],9.99,C0011682|Drinking Water,[sbst],44.97,C0599638|Gegenhalten,[fndg],19.33,C0231519|Air (substance),[sbst],16.30,C0001861|Multiple Chronic Conditions,[dsyn],16.03,C3266262|Set (Psychology),[menp],13.09,C0036849|Mental concentration,[menp],3.55,C0086045|Water Purification,[acty],27.26,C0242719|Disinfectants,[sbst],17.80,C0012682|Air (substance),[sbst],16.12,C0001861|Pigmentation,[orga],13.01,C0031911|Taste Perception,[ortf],29.46,C0039336|Water Purification,[acty],27.26,C0242719|Odors,[npop],26.56,C0028884|Air (substance),[sbst],16.12,C0001861|Affect (mental function),[menp],11.49,C0001721|Muscle strain,[inpo],3.87,C0080194|Water Purification,[acty],27.26,C0242719|Ability,[orga],26.61,C0085732|Pressure- physical agent,[phpr],19.70,C0033095|Natural Gas,[sbst],17.80,C0017109|Air (substance),[sbst],16.12,C0001861|Nevus,[neop],14.64,C0027960|Macrophage Activation Syndrome,[dsyn],13.14,C1096155|Fever,[sosy],13.06,C0015967|Pyschological Bonding,[menp],12.89,C0028758|Satisfaction,[menp],11.49,C0242428|Cells,[cell],3.63,C0007634|Air (substance),[sbst],32.35,C0001861|Water Purification,[acty],27.26,C0242719|Compressed Air,[sbst],19.41,C0337081|Odors,[npop],14.64,C0028884|Tunica Media,[tisu],9.87,C0162867|Drinking Water,[sbst],22.47,C0599638|Vacuum (physical force),[npop],19.28,C0042221|Air (substance),[sbst],16.05,C0001861|Radioactivity,[npop],13.38,C0034553|furuncle,[dsyn],3.51,C0242301|Water Purification,[acty],27.26,C0242719|Air (substance),[sbst],16.12,C0001861|Solutions,[sbst],6.72,C0037633|Solutions,[sbst],6.72,C0037633|Muscle strain,[inpo],3.56,C0080194|Water Purification,[acty],27.26,C0242719|Natural Gas,[sbst],16.26,C0017109|Air (substance),[sbst],16.12,C0001861|Employment Termination,[fndg],9.73,C0014007|"
"('activated charcoal', 'Modification of properties and reactivity')","Acid-base, oxidation-reduction and specific adsorption characteristics are strongly dependent on the composition of the surface functional groups.The surface of conventional activated carbon is reactive, capable of oxidation by atmospheric oxygen and oxygen plasma steam, and also carbon dioxide and ozone.Oxidation in the liquid phase is caused by a wide range of reagents (HNO3, H2O2, KMnO4).Through the formation of a large number of basic and acidic groups on the surface of oxidized carbon to sorption and other properties can differ significantly from the unmodified forms.Activated carbon can be nitrogenated by natural products or polymers or processing of carbon with nitrogenating reagents.Activated carbon can interact with chlorine, bromine and fluorine.Surface of activated carbon, like other carbon materials can be fluoralkylated by treatment with (per)fluoropolyether peroxide in a liquid phase, or with wide range of fluoroorganic substances by CVD-method. Such materials combine high hydrophobicity and chemical stability with electrical and thermal conductivity and can be used as electrode material for super capacitors.Sulfonic acid functional groups can be attached to activated carbon to give ""starbons"" which can be used to selectively catalyse the esterification of fatty acids. Formation of such activated carbons from halogenated precursors gives a more effective catalyst which is thought to be a result of remaining halogens improving stability. It is reported about synthesis of activated carbon with chemically grafted superacid sites  CF2SO3H.Some of the chemical properties of activated carbon have been attributed to presence of the surface active carbon double bond.The Polyani adsorption theory is a popular method for analyzing adsorption of various organic substances to their surface.","Plasma,[bdsu],12.94,C0032105|Electricity,[npop],12.90,C0013790|Oxidation-Reduction,[moft],11.49,C0030012|Thinking, function,[menp],11.49,C0039869|Esterification,[npop],9.87,C0014895|Catalysis,[npop],8.34,C0007382|Transplanted tissue,[tisu],6.59,C0332835|Cardiovascular Diseases,[dsyn],3.68,C0007222|chemical properties,[npop],3.58,C0243178|"
"('activated charcoal', 'Reactivation and regeneration')","The reactivation or the regeneration of activated carbons involves restoring the adsorptive capacity of saturated activated carbon by desorbing adsorbed contaminants on the activated carbon surface.The most common regeneration technique employed in industrial processes is thermal reactivation. The thermal regeneration process generally follows three steps:
Adsorbent drying at approximately 105  C (221  F)
High temperature desorption and decomposition (500 900  C (932 1,652  F)) under an inert atmosphere
Residual organic gasification by a non-oxidising gas (steam or carbon dioxide) at elevated temperatures (800  C (1,470  F))The heat treatment stage utilises the exothermic nature of adsorption and results in desorption, partial cracking and polymerization of the adsorbed organics. The final step aims to remove charred organic residue formed in the porous structure in the previous stage and re-expose the porous carbon structure regenerating its original surface characteristics. After treatment the adsorption column can be reused. Per adsorption-thermal regeneration cycle between 5 15 wt% of the carbon bed is burnt off resulting in a loss of adsorptive capacity. Thermal regeneration is a high energy process due to the high required temperatures making it both an energetically and commercially expensive process. Plants that rely on thermal regeneration of activated carbon have to be of a certain size before it is economically viable to have regeneration facilities onsite. As a result, it is common for smaller waste treatment sites to ship their activated carbon cores to specialised facilities for regeneration. 
 The reactivation or the regeneration of activated carbons involves restoring the adsorptive capacity of saturated activated carbon by desorbing adsorbed contaminants on the activated carbon surface.Current concerns with the high energy/cost nature of thermal regeneration of activated carbon has encouraged research into alternative regeneration methods to reduce the environmental impact of such processes. Though several of the regeneration techniques cited have remained areas of purely academic research, some alternatives to thermal regeneration systems have been employed in industry. Current alternative regeneration methods are:

Chemical and solvent regeneration
Microbial regeneration
Electrochemical regeneration
Ultrasonic regeneration
Wet air oxidation","Natural regeneration,[ortf],20.27,C0034963|Desiccation,[npop],9.86,C0011682|Fever,[sosy],13.00,C0015967|Atmosphere, planetary,[npop],12.88,C0004178|Natural regeneration,[ortf],35.33,C0034963|Fever,[sosy],13.58,C0015967|Carbon Cycle,[npop],9.86,C2936196|Burn injury,[inpo],6.75,C0006434|Polymerization,[phpr],6.71,C0314672|Heat (physical force),[npop],3.48,C0018837|Natural regeneration,[ortf],42.68,C0034963|Impacts, Environmental,[phpr],9.90,C0282165|Heat (physical force),[npop],3.42,C0018837|Natural regeneration,[ortf],6.83,C0034963|Natural regeneration,[ortf],6.83,C0034963|Natural regeneration,[ortf],6.83,C0034963|Ultrasonics (sound),[npop],12.96,C1456803|Natural regeneration,[ortf],6.83,C0034963|Air (substance),[sbst],16.25,C0001861|"
"('alfalfa', 'Phytoestrogens in alfalfa and effect on livestock fertility')","Alfalfa, like other leguminous crops, is a known source of phytoestrogens, including spinasterol, coumestrol, and coumestan. Because of this, grazing on alfalfa during breeding can cause reduced fertility in sheep and in dairy cattle if not effectively managed.. 
Coumestrol levels in alfalfa have been shown to be elevated by fungal infection, but not significantly under drought stress or aphid infestation. Grazing management can be utilised to mitigate the effects of coumestrol on ewe reproductive performance, with full recovery after removal from alfalfa. Coumestrol levels in unirrigated crops can be predicted practically using weather variables.","Breeding,[orgf],11.49,C0006159|Fertility,[orgf],9.88,C0015895|Avian crop,[bpoc],6.79,C0010352|Droughts,[npop],16.18,C0013140|Weather,[npop],16.12,C0043085|Disease Management,[hlca],9.99,C0376636|Reproduction,[orgf],9.78,C0035150|Mycoses,[dsyn],6.79,C0026946|Avian crop,[bpoc],6.59,C0010352|Parasitic Diseases,[dsyn],3.68,C0030499|"
"('alfalfa', 'Toxicity of canavanine')","Raw alfalfa seeds and sprouts are a source of the amino acid canavanine. Much of the canavanine is converted into other amino acids during germination so sprouts contain much less canavanine than unsprouted seeds. Canavanine competes with arginine, resulting in the synthesis of dysfunctional proteins. Raw unsprouted alfalfa has toxic effects in primates, including humans, which can result in lupus-like symptoms and other immunological diseases in susceptible individuals, and sprouts also produced these symptoms in at least some primates when fed a diet made of 40% alfalfa. Stopping consumption of alfalfa seeds can reverse the effects.","Lupus Vulgaris,[dsyn],25.64,C0024131|Fish-Eye Disease,[dsyn],24.11,C0342895|Protein Biosynthesis,[moft],13.03,C0597295|Lupus Erythematosus, Discoid,[dsyn],13.02,C0024138|Diet therapy,[hlca],11.49,C0012159|Immune System Diseases,[dsyn],3.59,C0021053|Consumption of goods,[acty],3.56,C0009830|"
"('alfalfa', 'Health effects')","The United States National Institutes of Health (US NIH) reports there is ""Insufficient evidence to rate effectiveness [of alfalfa] for"" the following:
High cholesterol. Taking alfalfa seeds seems to lower total cholesterol and  bad  low-density lipoprotein (LDL) cholesterol in people with high cholesterol levels.
Kidney problems
Bladder problems
Prostate problems
Asthma
Arthritis
Diabetes
Upset stomach
Other conditionsFurther, the US NIH has identified several safety concerns and medication interactions.
US NIH summarizes: 

Alfalfa leaves are POSSIBLY SAFE for most adults. However, taking alfalfa seeds long-term is LIKELY UNSAFE. Alfalfa seed products may cause reactions that are similar to the autoimmune disease called lupus erythematosus.
Alfalfa might also cause some people's skin to become extra sensitive to the sun.

As noted above, raw unsprouted alfalfa has toxic effects in primates, including humans, which can result in lupus-like symptoms and other immunological diseases in susceptible individuals,US NIH calls out special precautions and warnings for the following:
Pregnancy or breast-feeding: Using alfalfa in amounts larger than what is commonly found in food is possibly unsafe during pregnancy and breast-feeding. There is some evidence that alfalfa may act like estrogen, and this might affect the pregnancy.
Auto-immune Diseases: Alfalfa might cause the immune system to become more active, and this could increase the symptoms of these diseases.
Hormone-sensitive conditions (such as breast cancer, uterine cancer, ovarian cancer, endometriosis, or uterine fibroids:) Alfalfa might have the same effects as the female hormone estrogen.
Diabetes: Alfalfa might lower blood sugar levels.
Kidney transplant: There is one report of a kidney transplant rejection following the three-month use of a supplement that contained alfalfa and black cohosh. This outcome is more likely due to alfalfa than black cohosh. Alfalfa's immune system boost might make the anti-rejection drug cyclosporine less effective.US NIH warns that alfalfa interacts with Warfarin (Coumadin) in a major way; the two should not be combined.US NIH warns that alfalfa interacts with the following medicine types moderately; the user should be cautious when taking alfalfa with these:
Birth control pills (Contraceptive drugs)
Estrogens   Large amounts of alfalfa might have some of the same effects as estrogen. However even large amounts of alfalfa are not as strong as estrogen pills. Taking alfalfa along with estrogen pills might decrease the effects of estrogen pills.
Medications for diabetes (Antidiabetes drugs)
Medications that decrease the immune system (Immunosuppressants)
Medications that increase sensitivity to sunlight (Photosensitizing drugs)US NIH warns that alfalfa may interact with herbs and supplements associated with the following:
Those that might lower blood sugar
Iron
Vitamin ERefer to  for the most current information and details.","Hypercholesterolemia,[dsyn],42.15,C0020443|Kidney,[bpoc],9.81,C0022646|Urinary Bladder,[bpoc],9.81,C0005682|Prostate,[bpoc],12.96,C0033572|Asthma,[dsyn],17.80,C0004096|Arthritis,[dsyn],11.49,C0003864|Diabetes Mellitus,[dsyn],14.64,C0011849|Stomach,[bpoc],13.14,C0038351|Drug Interactions,[patf],13.58,C0687133|Lupus Vulgaris,[dsyn],25.76,C0024131|Term Birth,[orgf],19.45,C0233324|Lupus Erythematosus, Discoid,[dsyn],13.14,C0024138|Autoimmune Diseases,[dsyn],6.62,C0004364|Sunlight,[npop],19.20,C0038817|Hypersensitivity,[patf],6.71,C0020517|Lupus Vulgaris,[dsyn],25.64,C0024131|Lupus Erythematosus, Discoid,[dsyn],13.02,C0024138|Immune System Diseases,[dsyn],3.59,C0021053|Breast Feeding,[orgf],42.15,C0006147|Pregnancy,[orgf],40.09,C0032961|Affect (mental function),[menp],11.49,C0001721|Disease,[dsyn],9.74,C0012634|Immune System Diseases,[dsyn],3.75,C0021053|Epithelial ovarian cancer,[neop],24.11,C0677886|Estrogen Effect,[fndg],19.34,C0877035|Uterine Cancer,[neop],17.80,C0153567|Uterine Fibroids,[neop],17.80,C0042133|Breast Carcinoma,[neop],14.64,C0678222|Endometriosis,[dsyn],14.64,C0014175|Disease,[dsyn],9.90,C0012634|Females,[orga],9.73,C0086287|Hypersensitivity,[patf],6.63,C0020517|Malignant neoplasm of breast,[neop],5.18,C0006142|Malignant neoplasm of ovary,[neop],5.18,C1140680|Diabetes Mellitus,[dsyn],14.64,C0011849|Estrogen Effect,[fndg],19.37,C0877035|Diabetes Mellitus,[dsyn],12.91,C0011849|Dermatitis, Phototoxic,[dsyn],19.27,C0162830|Photosensitivity of skin,[patf],5.18,C0349506|"
"('american ginseng', 'Traditional medicine')","The plant's root and leaves were used in traditional medicine by Native Americans. Since the 18th century, the roots have been collected by ""sang hunters"" and sold to Chinese or Hong Kong traders, who often pay  high prices for particularly old wild roots. Originally, American ginseng was imported into China via subtropical Guangzhou, the seaport next to Hong Kong. Since American ginseng was originally imported into China via a subtropical seaport, Chinese doctors believed American ginseng must be good for yin, because it came from a hot area. They did not know, however, that American ginseng can only grow in temperate regions. Nonetheless, the root is legitimately classified as more yin because it generates fluids.There is no evidence that American ginseng is effective against the common cold or how severe the infections are. There is tentative evidence that it may lessen the length of sickness when used preventively.Cold-fX is a product derived from the roots of North American ginseng (Panax quinquefolius). The makers of Cold-fX were criticized for making health claims about the product that have never been tested or verified scientifically. Health Canada's review of the scientific literature confirmed that this is not a claim that the manufacturer is entitled to make. 
 The plant's root and leaves were used in traditional medicine by Native Americans. Since the 18th century, the roots have been collected by ""sang hunters"" and sold to Chinese or Hong Kong traders, who often pay  high prices for particularly old wild roots. Originally, American ginseng was imported into China via subtropical Guangzhou, the seaport next to Hong Kong. Since American ginseng was originally imported into China via a subtropical seaport, Chinese doctors believed American ginseng must be good for yin, because it came from a hot area. They did not know, however, that American ginseng can only grow in temperate regions. Nonetheless, the root is legitimately classified as more yin because it generates fluids.There is no evidence that American ginseng is effective against the common cold or how severe the infections are. There is tentative evidence that it may lessen the length of sickness when used preventively.Cold-fX is a product derived from the roots of North American ginseng (Panax quinquefolius). The makers of Cold-fX were criticized for making health claims about the product that have never been tested or verified scientifically. Health Canada's review of the scientific literature confirmed that this is not a claim that the manufacturer is entitled to make.","Hot Temperature,[npop],22.48,C2350229|Tooth root structure,[bpoc],17.80,C0040452|Common Cold,[dsyn],12.92,C0009443|Infection,[patf],8.34,C3714514|Body Fluids,[bdsu],7.13,C0005889|Temperance,[inbe],6.66,C0039475|Hot Temperature,[npop],22.48,C2350229|Tooth root structure,[bpoc],17.80,C0040452|Common Cold,[dsyn],12.92,C0009443|Infection,[patf],8.34,C3714514|Body Fluids,[bdsu],7.13,C0005889|Temperance,[inbe],6.66,C0039475|"
"('american ginseng', 'Adverse effects')","Individuals requiring anticoagulant therapy such as warfarin should avoid use of ginseng. It is not recommended for individuals with impaired liver or renal function, or during pregnancy or breastfeeding. Other adverse effects include: headaches, anxiety, trouble sleeping and an upset stomach.Recent studies have shown that through the many cultivated procedures that American ginseng is grown, fungal molds, pesticides, and various metals and residues have contaminated the crop. Though these contaminating effects are not considerably substantial, they do pose health concerns that could lead to neurological problems, intoxication, cardiovascular disease and cancer. 
 Individuals requiring anticoagulant therapy such as warfarin should avoid use of ginseng. It is not recommended for individuals with impaired liver or renal function, or during pregnancy or breastfeeding. Other adverse effects include: headaches, anxiety, trouble sleeping and an upset stomach.Recent studies have shown that through the many cultivated procedures that American ginseng is grown, fungal molds, pesticides, and various metals and residues have contaminated the crop. Though these contaminating effects are not considerably substantial, they do pose health concerns that could lead to neurological problems, intoxication, cardiovascular disease and cancer.","Breast Feeding,[orgf],20.95,C0006147|Headache,[sosy],17.80,C0018681|Stomach,[bpoc],13.14,C0038351|Pregnancy,[orgf],13.05,C0032961|Anxiety,[mobd],11.49,C0003467|Kidney,[bpoc],9.99,C0022646|Sleep,[orgf],9.99,C0037313|Anxiety Disorders,[mobd],8.34,C0003469|Avian crop,[bpoc],8.34,C0010352|Liver,[bpoc],6.83,C0023884|Cardiovascular Diseases,[dsyn],5.18,C0007222|Malignant Neoplasms,[neop],5.18,C0006826|Breast Feeding,[orgf],20.95,C0006147|Headache,[sosy],17.80,C0018681|Stomach,[bpoc],13.14,C0038351|Pregnancy,[orgf],13.05,C0032961|Anxiety,[mobd],11.49,C0003467|Kidney,[bpoc],9.99,C0022646|Sleep,[orgf],9.99,C0037313|Anxiety Disorders,[mobd],8.34,C0003469|Avian crop,[bpoc],8.34,C0010352|Liver,[bpoc],6.83,C0023884|Cardiovascular Diseases,[dsyn],5.18,C0007222|Malignant Neoplasms,[neop],5.18,C0006826|"
"('arnica', 'Arnica montana')","The species Arnica montana, native to Europe, has long been used medicinally, but the effectiveness of this use has not been substantiated.Arnica montana contains the toxin helenalin, which can be poisonous if large amounts of the plant are eaten, and contact with the plant can also cause skin irritation.","Eating,[orgf],13.44,C0013470|"
"('ashwagandha', 'Traditional medicine')","The plant, particularly its root powder, has been used for centuries in traditional Indian medicine. Mainly due to the poor quality of clinical research with the plant, there is no high-quality evidence that it provides any medicinal benefit and may cause adverse effects if taken together with prescription drugs. Dietary supplements containing ashwagandha are marketed in the U.S., but there is no evidence they have any effect.","Tooth root structure,[bpoc],16.10,C0040452|"
