,Summary
Agastache rugosa,"Agastache rugosa, the Korean mint, also known as wrinkled giant hyssop, purple giant hyssop, Indian mint, blue licorice, huo xiang (藿香), and Chinese patchouli, is an aromatic herb in the mint family, native to East Asia (China, Japan, Korea, Russian Primorye, Taiwan, India, and Vietnam).Korean mint grows well in fertile, moisture-retentive soils and good sunlight.
One can also dig out the plant in autumn or early spring, divide the roots, and plant them at intervals of 30 centimetres (12 in).Agastache rugosa photo
Plants For A Future: Agastache rugosa
The fruit is schizocarp, with obovate elliptical mericaps of 1.8 mm (0.071 in).The plant's Korean name is baechohyang (배초향), but it is more commonly known as banga (방아) in southern parts of Korea, where the herb is extensively cultivated and consumed.
It contains methyl chavicol, anethole, anisaldehyde, limonene, pinene and linalool.There is one known cultivar, Agastache rugosa 'Golden Jubilee', which has yellow-green foliage."
Alangium chinense,"Alangium chinense is a species of flowering plant in the Cornaceae family. It has the Chinese name (Chinese: 八角枫; pinyin: bā jiǎo fēng).Alangium chinense (Google Images)
Alangium chinense Ethnomedical Uses (Dr. Duke's Databases)
Alangium chinense (Plants for a Future Database)
Alangium chinense (Lour.) Harms Medicinal Plant Images Database (School of Chinese Medicine, Hong Kong Baptist University) (in Chinese) (in English)Chinese herbologyOil extracted from the seed of the plant can be used to light lamps"
Anemone chinensis,Anemone chinensis is a basionym of the currently known Pulsatilla chinensis and is one of the 50 fundamental herbs used in traditional Chinese medicine. There it has the name bái tóu wēng (Chinese: 白头翁).
Anisodus tanguticus,"It has a significant impact in China as one of the 50 fundamental herbs used in traditional Chinese medicine.The generic name Anisodus is a compound of the Greek words ἄνισος (ánisos, 'unequal') and ὀδούς (odoús, 'tooth'), hence signifying 'having teeth of different lengths' – so called from the observation that certain species have calyces featuring lobes or teeth of unequal length.
This can be attributed not only to the effects of over-collection, as a medicinal species, but also to a low rate of seed germination in A.
A study was conducted in an effort to find the most effective method of breaking seed dormancy in the species in order to increase rates of germination.
The study was undertaken in an effort to find ways of increasing the population of the plant.Anisodus tanguticus is found growing (on grassy sunny slopes) principally on the Tibetan Plateau, its range extending from the Hengduan Mountains of Sichuan and Yunnan in the east, through Qinghai and Gansu to the northwest, Tibet in the west, and Nepal in the south."
Ardisia japonica,"Ardisia japonica, known as marlberry, is a species of Ardisia native to eastern Asia, in eastern China, Japan and Korea.Ardisia japonica Chemical Compounds (Dr. Duke's Databases)It has escaped from cultivation and established itself in the wild in the United States, in Gainesville, Florida.Chinese herbology
Ardisia crenata, (waxy leaves and red berries) also known as coral bush, coralberry tree, or spiceberry.A number of cultivars have been selected for growing as ornamental plants, including 'Hakuokan' and 'Ito Fukurin' with variegated leaves, 'Hinotsukasa', with pale cream-coloured leaves, and 'Matsu Shima' with pink stems and variegated leaves.It is a low-growing, spreading very quickly evergreen shrub 20–40 cm tall.
The flowers are 4–10 mm diameter, with five (rarely six) white to pale pink petals; they are produced in racemes in late spring.
The fruit is a drupe 5–6 mm diameter, red maturing dark purple-black in early winter."
Aster tataricus,"Aster tataricus, also called Tatarinow's aster, is a member of the Aster genus of flowering plants.Media related to Aster tataricus at Wikimedia Commons
Plants for a future DatabaseIn Japan, Aster tataricus is known as shion, or 紫苑. The flower has a meaning in hanakotoba, the Japanese language of flowers, which corresponds to ""I won't forget you.""Known as gaemichwi (개미취) in Korean, the plant is considered a chwinamul (edible Aster) variety used in Korean cuisine."
Astragalus propinquus,"Astragalus propinquus (syn.
Astragalus membranaceus, commonly known as Mongolian milkvetch in English and as huáng qí (Chinese: 黃芪), běi qí (Chinese: 北芪) or huáng huā huáng qí (Chinese: 黃花黃耆), in Chinese, is a flowering plant in the family Fabaceae.
It is one of the 50 fundamental herbs used in traditional Chinese medicine.
It is a perennial plant and it is not listed as being threatened.Chemical constituents of the roots (Radix Astragali) include polysaccharides and triterpenoids (such as astragalosides), as well as isoflavones (including kumatakenin, calycosin, and formononetin) and their glycosides and malonates.
propinquus called TA-65 may activate telomerase, extending the lengths of the shortest telomeres which protect the terminal DNA at the ends of all chromosomes.
It contains the saponin cycloastragenol.""Astragalus membranaceus – Moench"".
Plants for a Future.
""Astragalus membranaceus (FISCH.
EX LINK) BUNGE – Fabaceae"".
Archived from the original on 2004-11-15.A. propinquus is listed in the following official pharmacopoeia:"
Camellia sinensis,"Camellia sinensis is a species of evergreen shrub or small tree whose leaves and leaf buds are used to produce tea.
Many high quality teas are grown at high elevations, up to 1,500 m (4,900 ft), as the plants grow more slowly and acquire more flavour.
s. sinensis) and the large-leaved Assamese plant (C.
s. assamica), used mainly for black tea.""Camellia sinensis"".
sinensis is native to East Asia, the Indian Subcontinent, and Southeast Asia, but it is today cultivated across the world in tropical and subtropical regions.
The young, light-green leaves are preferably harvested for tea production; they have short, white hairs on the underside.
sinensis differs from other caffeine-producing plants such as coffee or guayusa.
Analysis of the pathway was carried out by harvesting young leaves and using reverse transcription PCR to analyze the genes encoding the major enzymes involved in synthesizing caffeine."
Cannabis sativa,"Cannabis sativa is an annual herbaceous flowering plant indigenous to eastern Asia but now of cosmopolitan distribution due to widespread cultivation.
The word ""sativa"" means things that are cultivated.A Cannabis plant in the vegetative growth phase of its life requires more than 12–13 hours of light per day to stay vegetative.
Tissue culture multiplication has become important in producing medically important clones, while seed production remains the generally preferred means of multiplication.Data related to Cannabis sativa at Wikispecies
Popular Sativa Marijuana StrainsBeside cannabinoids, Cannabis chemical constituents include about 120 compounds responsible for its characteristic aroma.
Trans-caryophyllene
A nominal if not legal distinction is often made between industrial hemp, with concentrations of psychoactive compounds far too low to be useful for that purpose, and marijuana.The flowers of Cannabis sativa are unisexual and plants are most often either male or female.
Although genetic factors dispose a plant to become male or female, environmental factors including the diurnal light cycle can alter sexual expression."
Carthamus tinctorius,"In coloring textiles, dried safflower flowers are used as a natural dye source for the orange-red pigment carthamin.
""The explanation is that there are two parts of the plant which can be used; the pale seeds and the red florets.""The early Spanish colonies along the Rio Grande in New Mexico used safflower as a substitute for saffron in traditional recipes.
Other significant producers were Mexico and Kazakhstan.Traditionally, the crop was grown for its seeds, and used for coloring and flavoring foods, in medicines, and making red (carthamin) and yellow dyes, especially before cheaper aniline dyes became available.
For the last fifty years or so, the plant has been cultivated mainly for the vegetable oil extracted from its seeds.In Japan, dyers have mastered the technique of producing a bright red to orange-red dye (known as carthamin) from the dried florets of safflower (Carthamus tinctorius)."
