,InteractionIdId,name_used,summary,url,toc
5-fluorouracil,165,Fluorouracil,"Fluorouracil (5-FU), sold under the brand name Adrucil among others, is a medication used to treat cancer.
As a cream it is used for actinic keratosis, basal cell carcinoma, and skin warts.When used by injection most people develop side effects.
Common side effects include inflammation of the mouth, loss of appetite, low blood cell counts, hair loss, and inflammation of the skin.
Fluorouracil is in the antimetabolite and pyrimidine analog families of medications.
How it works is not entirely clear but believed to involve blocking the action of thymidylate synthase and thus stopping the production of DNA.Fluorouracil was patented in 1956 and came into medical use in 1962.
The wholesale cost in the developing world is about US$1.18–3.40 per 500 mg vial.
In the United Kingdom this amount costs the NHS about £6.40.
In the United States it costs about $18.71.",https://en.wikipedia.org/wiki/Fluorouracil,"[('Medical uses',), ('Contraindications',), ('Adverse effects', 'During systemic use'), ('Adverse effects', 'During topical use'), ('Adverse effects', 'Neurological damage'), ('Potential overdose',), ('Interactions',), ('Pharmacology', 'Pharmacogenetics'), ('Pharmacology', 'Mechanism of action'), ('History',), ('Natural analogues',), ('Interactive pathway map',), ('Names',), ('References',), ('External links',)]"
acebutolol (sectral),227,Acebutolol,"Acebutolol, sold under the brand names Sectral among others, is a beta blocker for the treatment of hypertension and arrhythmias.
It was patented in 1967 and approved for medical use in 1973.",https://en.wikipedia.org/wiki/Acebutolol,"[('Medical uses',), ('Contraindications',), ('Side effect',), ('Pharmacology',), ('Pharmacokinetics',), ('References',), ('External links',)]"
"acetaminophen (tylenol, others)",181,Paracetamol poisoning,"This is typically followed by a couple of days without any symptoms, after which yellowish skin, blood clotting problems, and confusion occurs as a result of liver failure.
Without treatment some cases will resolve while others will result in death.Paracetamol poisoning can occur accidentally or as an attempt to end one's life.
Liver damage results not from paracetamol itself, but from one of its metabolites, N-acetyl-p-benzoquinone imine (NAPQI).
Diagnosis is based on the blood level of paracetamol at specific times after the medication was taken.
These values are often plotted on the Rumack-Matthew nomogram to determine level of concern.Treatment may include activated charcoal if the person seeks medical help soon after the overdose.
Death occurs in about 0.1% of cases.Paracetamol poisoning was first described in the 1960s.
In the United States and the United Kingdom, paracetamol is the most common cause of acute liver failure.",https://en.wikipedia.org/wiki/Paracetamol_poisoning,"[('Signs and symptoms',), ('Cause', 'Risk factors'), ('Pathophysiology',), ('Diagnosis', 'Detection in body fluids'), ('Prevention', 'Limitation of availability'), ('Prevention', 'Combination with other agents'), ('Prevention', 'Paracetamol replacements'), ('Treatment', 'Gastric decontamination'), ('Treatment', 'Acetylcysteine'), ('Treatment', 'Liver transplant'), ('Prognosis',), ('Epidemiology',), ('References',), ('External links',)]"
acetazolamide,313,Acetazolamide,"Acetazolamide, sold under the trade name Diamox among others, is a medication used to treat glaucoma, epilepsy, altitude sickness, periodic paralysis, idiopathic intracranial hypertension (raised brain pressure of unclear cause), and heart failure.
It is taken by mouth or injection into a vein.Common side effects include numbness, ringing in the ears, loss of appetite, vomiting, and sleepiness.
Acetazolamide is in the diuretic and carbonic anhydrase inhibitor families of medication.
It works by decreasing the amount of hydrogen ions and bicarbonate in the body.Acetazolamide came into medical use in 1952.
It is on the World Health Organization's List of Essential Medicines, which lists the safest and most effective medicines needed in a health system.
Acetazolamide is available as a generic medication.
The wholesale cost in the developing world is about US$1.40–16.93 per month.
In the United States the wholesale cost is about US$125.34 per month.",https://en.wikipedia.org/wiki/Acetazolamide,"[('Medical uses', 'High altitude sickness'), ('Medical uses', 'Pregnancy and lactation'), ('Side effects', 'Contraindications'), ('Side effects', 'Interactions'), ('Mechanism of action',), ('History',)]"
adenosine (adenocard),52,Adenosine,"Adenosine is both a chemical found in many living systems and a medication.
As a medication it is used to treat certain forms of supraventricular tachycardia that do not improve with vagal maneuvers.
Common side effects include chest pain, feeling faint, shortness of breath and tingling of the senses.
Serious side effects include increased dysrhythmia and reduced blood pressure.
It appears to be safe in pregnancy.It is a purine nucleoside composed of a molecule of adenine attached to a ribose sugar molecule (ribofuranose) moiety via a β-N9-glycosidic bond.
Derivatives of adenosine are widely found in nature and play an important role in biochemical processes, such as energy transfer—as adenosine triphosphate (ATP) and adenosine diphosphate (ADP)—as well as in signal transduction as cyclic adenosine monophosphate (cAMP).
Adenosine itself is a neuromodulator, believed to play a role in promoting sleep and suppressing arousal.
It also plays a role in regulation of blood flow to various organs through vasodilation.",https://en.wikipedia.org/wiki/Adenosine,"[('Medical uses', 'Supraventricular tachycardia'), ('Medical uses', 'Nuclear stress test'), ('Medical uses', 'Dosage'), ('Drug interactions',), ('Contraindications',), ('Side effects',), ('Pharmacological effects', 'Adenosine receptors'), ('Pharmacological effects', 'Ghrelin/growth hormone secretagogue receptor'), ('Pharmacological effects', 'Mechanism of action'), ('Metabolism',), ('Research', 'Viruses'), ('Research', 'Anti-inflammatory properties'), ('Research', 'Central nervous system'), ('Research', 'Hair'), ('Research', 'Sleep'), ('See also',)]"
albendazole,312,Albendazole,"Albendazole, also known as albendazolum, is a medication used for the treatment of a variety of parasitic worm infestations.
It is useful for giardiasis, trichuriasis, filariasis, neurocysticercosis, hydatid disease, pinworm disease, and ascariasis, among others.
It is taken by mouth.Common side effects include nausea, abdominal pains, and headaches.
Potentially serious side effects include bone marrow suppression which usually improves on stopping the medication.
It is pregnancy category C in the United States and category D in Australia, meaning it may cause harm if taken by pregnant women.
Albendazole is a broad-spectrum antihelminthic agent of the benzimidazole type.Albendazole was developed in 1975.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
The wholesale cost in the developing world is between 0.01 and US$0.06 per dose.
In the United States, as of 2019, the wholesale cost is about US$128 per dose.",https://en.wikipedia.org/wiki/Albendazole,"[('Medical uses', 'Pregnancy'), ('Contraindications',), ('Side effects',), ('Overdose',), ('Interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('History',), ('Society and culture', 'Brand names'), ('Society and culture', 'Cost'), ('Veterinary use', 'Meat'), ('Research',), ('See also',), ('References',), ('External links',)]"
alcohol,0,Alcohol,"In chemistry, alcohols are organic compounds that carry at least one hydroxyl functional group (C–OH) bound to their aliphatic substructure.
The term alcohol originally referred to the primary alcohol ethanol (ethyl alcohol), which is used as a drug and is the main alcohol present in alcoholic beverages.
An important class of alcohols, of which methanol and ethanol are the simplest members, includes all compounds for which the general formula is CnH2n+1OH.
The suffix -ol appears in the IUPAC chemical name of all substances where the hydroxyl group is the functional group with the highest priority.
When a higher priority group is present in the compound, the prefix hydroxy- is used in its IUPAC name.
The suffix -ol in non-IUPAC names (such as paracetamol or cholesterol) also typically indicates that the substance is an alcohol.
However, many substances that contain hydroxyl functional groups (particularly sugars, such as glucose and sucrose) have names which include neither the suffix -ol, nor the prefix hydroxy-.",https://en.wikipedia.org/wiki/Alcohol,"[('History',), ('Nomenclature', 'Etymology'), ('Nomenclature', 'Systematic names'), ('Nomenclature', 'Common names'), ('Applications',), ('Toxicity',), ('Physical properties',), ('Occurrence in nature',), ('Production', 'Ziegler and oxo processes'), ('Production', 'Hydration reactions'), ('Production', 'Biological routes', 'Substitution'), ('Production', 'Biological routes', 'Reduction'), ('Production', 'Biological routes', 'Hydrolysis'), ('Reactions', 'Deprotonation'), ('Reactions', 'Nucleophilic substitution'), ('Reactions', 'Dehydration'), ('Reactions', 'Protonolysis'), ('Reactions', 'Esterification'), ('Reactions', 'Oxidation'), ('See also',), ('Notes',), ('References',), ('External links',)]"
alcohol (ethanol),3,Ethanol,"Ethanol (also called ethyl alcohol, grain alcohol, drinking alcohol, or simply alcohol) is a chemical compound, a simple alcohol with the chemical formula C2H6O.
Its formula can be also written as CH3−CH2−OH or C2H5OH (an ethyl group linked to a hydroxyl group), and is often abbreviated as EtOH.
Ethanol is a volatile, flammable, colorless liquid with a slight characteristic odor.
It is a psychoactive substance and is the principal active ingredient found in alcoholic drinks.
Ethanol is naturally produced by the fermentation of sugars by yeasts or via petrochemical processes, and is commonly consumed as a popular recreational drug.
It also has medical applications as an antiseptic and disinfectant.
The compound is widely used as a chemical solvent, either for scientific chemical testing or in synthesis of other organic compounds, and is a vital substance used across many different kinds of manufacturing industries.
Ethanol is also used as a clean-burning fuel source.",https://en.wikipedia.org/wiki/Ethanol,"[('Etymology',), ('Uses', 'Medical', 'Antiseptic'), ('Uses', 'Medical', 'Antidote'), ('Uses', 'Medical', 'Medicinal solvent'), ('Uses', 'Medical', 'Pharmacology'), ('Uses', 'Recreational'), ('Uses', 'Fuel', 'Engine fuel'), ('Uses', 'Fuel', 'Rocket fuel'), ('Uses', 'Fuel', 'Fuel cells'), ('Uses', 'Fuel', 'Household heating'), ('Uses', 'Feedstock'), ('Uses', 'Solvent'), ('Uses', 'Low-temperature liquid'), ('Chemistry', 'Chemical formula'), ('Chemistry', 'Physical properties'), ('Chemistry', 'Solvent properties'), ('Chemistry', 'Flammability'), ('Natural occurrence',), ('Production', 'Ethylene hydration'), ('Production', 'From CO2'), ('Production', 'From lipids'), ('Production', 'Fermentation', 'Cellulose'), ('Production', 'Testing'), ('Purification', 'Distillation'), ('Purification', 'Molecular sieves and desiccants'), ('Purification', 'Membranes and reverse osmosis'), ('Purification', 'Other techniques'), ('Purification', 'Grades of ethanol', 'Denatured alcohol'), ('Purification', 'Grades of ethanol', 'Absolute alcohol'), ('Purification', 'Grades of ethanol', 'Rectified spirits'), ('Reactions', 'Ester formation'), ('Reactions', 'Dehydration'), ('Reactions', 'Combustion'), ('Reactions', 'Acid-base chemistry'), ('Reactions', 'Halogenation'), ('Reactions', 'Oxidation'), ('Safety',), ('History',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
alendronate (fosamax),233,Alendronic acid,"Alendronic acid, sold under the brand name Fosamax among others, is a bisphosphonate medication used to treat osteoporosis and Paget's disease of bone.
Use is often recommended together with vitamin D, calcium supplementation, and lifestyle changes.Common side effects include constipation, abdominal pain, nausea, and acid reflux.
Serious side effects may include esophageal problems, osteonecrosis of the jaw, and femur fractures.
Use is not recommended during pregnancy or in those with poor kidney function.
Alendronic acid works by decreasing the activity of cells that break down bone.Alendronic acid was first described in 1978 and approved for medical use in the United States in 1995.
In the United Kingdom, a month of medication costs the NHS about 0.41 pounds as of 2019.
In the United States, the wholesale cost is about US$1.16 per month.
In 2016, it was the 73rd most prescribed medication in the United States, with more than 10 million prescriptions.",https://en.wikipedia.org/wiki/Alendronic_acid,"[('Medical uses',), ('Contraindications',), ('Side effects',), ('Interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('References',), ('External links',)]"
"aliskiren (tekturna, rasilez)",207,Aliskiren,"While used for high blood pressure, other better studied medications are typically recommended due to concerns of higher side effects and less evidence of benefit.In December 2011, Novartis halted a trial of the drug after discovering increased nonfatal stroke, kidney complications, high blood potassium, and low blood pressure in people with diabetes and kidney problems.As a result in 2012:
A new contraindication was added to the product label concerning the use of aliskiren with angiotensin receptor blockers (ARBs) or angiotensin-converting enzyme inhibitors (ACEIs) in patients with diabetes because of the risk of kidney impairment, low blood pressure, and high levels of potassium in the blood.
A warning to avoid use of aliskiren with ARBs or ACEIs was also added for patients with moderate to severe kidney impairment (i.e., where glomerular filtration rate is less than 60 ml/min).Aliskiren was co-developed by the Swiss pharmaceutical companies Novartis and Speedel.",https://en.wikipedia.org/wiki/Aliskiren,"[('Medical uses',), ('Adverse effects',), ('Contraindications',), ('Drug interactions',), ('Mechanism of action',), ('Chemistry',), ('Rationale for design',), ('References',), ('External links',)]"
