,name_used,summary
 Black sesame seed, Black sesame seed,"World production in 2016 was 6.1 million tonnes, with Tanzania, Myanmar, India, and Sudan as the largest producers.Sesame seed is one of the oldest oilseed crops known, domesticated well over 3000 years ago.
S. indicum, the cultivated type, originated in India and is tolerant to drought-like conditions, growing where other crops fail.Sesame has one of the highest oil contents of any seed.
Also in Tamil Nadu, sesame oil used extensively in their cuisine, milagai podi, a ground powder made of sesame and dry chili, is used to enhance flavor, and is consumed along with other traditional foods such as idli.
In 2008, by volume, premium prices, and quality, the largest exporter was India, followed by Ethiopia and Myanmar.In 2016, world production of sesame seeds was 6.1 million tonnes, led by Tanzania, Myanmar, India, and Sudan (table).The white and other lighter-coloured sesame seeds are common in Europe, the Americas, West Asia, and the Indian subcontinent."
 Job's tears, Job's tears,"Job's tears  (US) or Job's-tears (UK), scientific name Coix lacryma-jobi, also known as adlay or adlay millet, is a tall grain-bearing perennial tropical plant of the family Poaceae (grass family).
The wild variety, Coix lacryma-jobi var.
The cultivated variety Coix lacryma-jobi var.
A similar drink, called yi ren jiang  (薏仁漿), also appears in Chinese cuisine, and is made by simmering whole polished Job's tears in water and sweetening the resulting thin, cloudy liquid with sugar.
In Japan, an aged vinegar is made from the grain.In southern Vietnam, a sweet, cold soup called sâm bổ lượng has Job's tears as one of its ingredients.
Particularly Coix lacryma-jobi var.
Coix lacryma-jobi var.
Coix lacryma-jobi var.
Coix lacryma-jobi var.
Coix lacryma-jobi var."
Achyranthes root,Achyranthes root,"Achyranthes bidentata Blume (English common name:  ox knee, Chinese:  niu xi) is a species of flowering plant in the amaranth family, Amaranthaceae. It occurs in India, Nepal, China, and Japan.  It is the source of  the Chinese herbal medicine huái niú xī.  In Nepal its root juice is used for toothache.  Its seeds have been used as a substitute for cereal grains in famine years. The plant is used externally in the treatment of leech bites in Mizoram, India and a decoction as a diuretic.Data related to Achyranthes bidentata at Wikispecies
 Media related to Achyranthes bidentata at Wikimedia Commons"
Adzuki bean,Adzuki bean,"The adzuki bean (Vigna angularis; from azuki (Japanese: アズキ（小豆）); sometimes transliterated as azuki or adzuki), or English red mung bean, is an annual vine widely cultivated throughout East Asia for its small (approximately 5 millimetres (0.20 in) long) bean.
Commonly the plant self-pollinates but cross-pollination also exists.The wild ancestor of cultivated adzuki bean is probably Vigna angularis var.
Leaflets are ovate and about 5–10 cm long and 5–8 cm wide.The adzuki bean is mainly cultivated in China (670,000 ha), Japan (60,000 ha), South Korea (25,000 ha), and Taiwan (15,000 ha) (data published 2006).
Amounts of 4 to 8 dt/ha are reported, but in Japan and China yields between 20 and 30 dt/ha are reached.The description of the adzuki bean can vary between authors because there are both wild and cultivated forms of the plant.
Pod shatter during seed ripening and harvesting might be a difficulty under certain conditions.In Japan, the adzuki bean was one of the first crops subjected to scientific plant breeding."
Agarwood,Agarwood,"Prior to infection, the heartwood is odourless, relatively light and pale coloured; however, as the infection progresses, the tree produces a dark aromatic resin, called aloes or agar (not to be confused with the edible, algae-derived agar) as well as gaharu, jinko, oud, or oodh (not to be confused with bukhoor), in response to the attack, which results in a very dense, dark, resin-embedded heartwood.
In 2004, all Aquilaria species were listed in Appendix II; however, a number of countries have outstanding reservations regarding that listing.First-grade agarwood is one of the most expensive natural raw materials in the world, with 2010 prices for superior pure material as high as US$100,000/kg, although in practice adulteration of the wood and oil is common, allowing for prices as low as US$100/kg.
SandalwoodThere are seventeen species in the genus Aquilaria, large evergreens native to southeast Asia, and nine are known to produce agar wood.
In natural forests, only about 7 out of 100 Aquilaria trees of same species are infected and produce aloes/agar wood."
Alexandrian senna leaf,Alexandrian senna leaf,"Alexandrian Senna is a shrubby plant that reaches 0.5–1, rarely two, metres in height with a branched, pale-green erect stem and long spreading branches bearing four or five pairs of leaves.
It received the names Alexandrian senna and Egyptian senna because Alexandria in Egypt was the main trade port in past times.
The fruits and leaves were transported from Nubia and Sudan and other places to Alexandria, then from it and across the Mediterranean sea to Europe and adjacent Asia.
Cassia acutifolia Delile
Cassia alexandrina (Garsault) Thell.
Cassia lanceolata Collad.C. lanceolata Link is a synonym of Senna sophera  var.
Cassia senna L.
Senna acutifolia (Delile) Batka
Senna alexandrina Garsault
International Legume Database & Information Service (ILDIS) (2005): Genera Cassia and Senna.
Memoirs of the New York Botanical Garden 35: 1-918Historically, Senna alexandrina was used in the form of senna pods, or as herbal tea made from the leaves, as a laxative."
Alfalfa leaf,Alfalfa leaf,"It is known that members of this species pollinate up to 65 different species of plants, and it is the primary pollinator of key dietary crops, such as cranberries, plums, apples, onions, and alfalfa.M. rotundata was unintentionally introduced into the United States during the 1940s, and its management as a pollinator of alfalfa has led to a three-fold increase in seed production in the U.S. The synchronous emergence of the adult bees of this species during alfalfa blooming period in combination with such behaviors as gregarious nesting, and utilization of leaves and nesting materials that have been mass-produced by humans provide positive benefits for the use of these bees in pollinating alfalfa.Alfalfa is considered an insectary, a place where insects are reared, and has been proposed as helpful to other crops, such as cotton, if the two are interplanted, because the alfalfa harbours predatory and parasitic insects that would protect the other crop."
Aloe vera,Aloe vera,"In areas that receive frost or snow, the species is best kept indoors or in heated glasshouses.There is large-scale agricultural production of Aloe vera in Australia, Bangladesh, Cuba, the Dominican Republic, China, Mexico, India, Jamaica, Spain, where it grows even well inland, Kenya, Tanzania and South Africa, along with the USA to supply the cosmetics industry.Media related to Aloe vera at Wikimedia CommonsAloe vera is a stemless or very short-stemmed plant growing to 60–100 cm (24–39 in) tall, spreading by offsets.
Like other Aloe species, Aloe vera forms arbuscular mycorrhiza, a symbiosis that allows the plant better access to mineral nutrients in soil.Aloe vera leaves contain phytochemicals under study for possible bioactivity, such as acetylated mannans, polymannans, anthraquinone C-glycosides, anthrones, and other anthraquinones, such as emodin and various lectins.Although there is little scientific evidence of the effectiveness or safety of Aloe vera extracts for either cosmetic or medicinal purposes, the cosmetics and alternative medicine industries regularly make claims regarding the soothing, moisturizing, and healing properties of aloe vera."
American ginseng,American ginseng,"quinquefolius) has been primarily exported to Asia, where it is highly valued for perceived superior quality and sweet taste.""Roots and Regulations: The Unfolding Story of Pennsylvania Ginseng"", by Melissa Beattie-MossLike Panax ginseng, American ginseng contains dammarane-type ginsenosides, or saponins, as the major biologically active constituents.
These findings indicate M1 is the final metabolite of PPD-type ginsenosides.M1 is referred to in some articles as IH-901, and in others as compound-K.The aromatic root of American ginseng (Panax quinquefolius) resembles a small parsnip that forks as it matures.
American Ginseng can be found in much of the eastern and central United States and in part of southeastern Canada.
States recognizing American ginseng as a special concern: Connecticut, Massachusetts, North Carolina, Tennessee.American ginseng was formerly particularly widespread in the Appalachian and Ozark regions (and adjacent forested regions such as Pennsylvania, New York and Ontario).
There is tentative evidence that it may lessen the length of sickness when used preventively.Cold-fX is a product derived from the roots of North American ginseng (Panax quinquefolius)."
Amomum fruit,Amomum fruit,"Cornus amomum, the silky dogwood or kinnikinnik, is a species of dogwood native to eastern North America, from Ontario and Quebec south to Arkansas and Georgia.
The fruit is a small blue drupe.Cornus amomum is a native eastern North American shrub, finding suitable habitat in wetland areas like swamps, marshes and bogs.
As Cornus amomum fruit decay fruitivores tend to pick only the ripe fruit and seeds, which destroy good seeds that would otherwise be dropped and grow.Cornus amomum is a shrub in the dogwood family, which grows in eastern North America.
Amomum in Latin means eastern spice.Cornus amomum is categorized as an angiosperm eudicot, falling in the order Cornales, the family Cornaceae, and the genus Cornus.The dogwood family is desired for ornamental uses in landscapes across the United States.
While Cornus amomum is recognized as Least Concern across the eastern parts of North America, Indiana has Cornus amomum ranked as an endangered plant throughout the state."
