,name_used,summary
5-HTP,5-HTP,"5-Hydroxytryptophan (5-HTP), also known as oxitriptan, is a naturally occurring amino acid and chemical precursor as well as a metabolic intermediate in the biosynthesis of the neurotransmitter serotonin.
In humans 5-HTP has never been clinically associated with serotonin syndrome, although a case report suggests 5-HTP can precipitate mania when added to an MAOI.When combined with carbidopa (as a treatment for symptoms of Parkinson's disease), 5-HTP causes nausea and vomiting; however this can be alleviated via administration of granisetron.
in 2007, which observed that MDMA-induced depletions of 5-HT (serotonin) were restored in rats after administration of 5-HTP, and suggested that this approach might be clinically useful in abstinent MDMA users.At high doses, or in combination with carbidopa, it has been used off-label to treat obesity (by promoting weight loss).In clinical trials of various design, 5-HTP has also been reported to treat fibromyalgia, myoclonus, migraine, and cerebellar ataxia."
Activated Charcoal,Activated Charcoal,"The adsorption of reactant/s to the catalyst surface creates a chemical bond, altering the electron density around the reactant molecule and allowing it to undergo reactions that would not normally be available to it.One major industrial application involves use of activated carbon in metal finishing for purification of electroplating solutions.
Given two active carbons with similar pore volumes for adsorption, the one having the higher molasses number will usually have larger feeder pores resulting in more efficient transfer of adsorbate into the adsorption space.Activated carbon is used in methane and hydrogen storage, air purification, decaffeination, gold purification, metal extraction, water purification, medicine, sewage treatment, air filters in gas masks and respirators, filters in compressed air, teeth whitening, production of hydrogen chloride in dark and many other applications.Activated carbon is used to treat poisonings and overdoses following oral ingestion."
Alfalfa,Alfalfa,"It is known that members of this species pollinate up to 65 different species of plants, and it is the primary pollinator of key dietary crops, such as cranberries, plums, apples, onions, and alfalfa.M. rotundata was unintentionally introduced into the United States during the 1940s, and its management as a pollinator of alfalfa has led to a three-fold increase in seed production in the U.S. The synchronous emergence of the adult bees of this species during alfalfa blooming period in combination with such behaviors as gregarious nesting, and utilization of leaves and nesting materials that have been mass-produced by humans provide positive benefits for the use of these bees in pollinating alfalfa.Alfalfa is considered an insectary, a place where insects are reared, and has been proposed as helpful to other crops, such as cotton, if the two are interplanted, because the alfalfa harbours predatory and parasitic insects that would protect the other crop."
American Ginseng,American Ginseng,"States recognizing American ginseng as a special concern: Connecticut, Massachusetts, North Carolina, Tennessee.American ginseng was formerly particularly widespread in the Appalachian and Ozark regions (and adjacent forested regions such as Pennsylvania, New York and Ontario).
Due to its popularity and unique habitat requirements, the wild plant has been overharvested, as well as lost through destruction of its habitat, and is thus rare in most parts of the United States and Canada.
Woods-grown American ginseng programs in Vermont, Maine, Tennessee, Virginia, North Carolina, Colorado, West Virginia, and Kentucky, have been encouraging the planting of ginseng both to restore natural habitats and to remove pressure from any remaining wild ginseng.Individuals requiring anticoagulant therapy such as warfarin should avoid use of ginseng.
There is tentative evidence that it may lessen the length of sickness when used preventively.Cold-fX is a product derived from the roots of North American ginseng (Panax quinquefolius)."
Arnica,Arnica,"Arnica chamissonis —Chamisso arnica - US West of Rockies incl Alaska; Canada (British Columbia to Quebec plus  Yukon + Northwest Territories)
Arnica cordifolia —Heart-leaf leopardbane, heartleaf arnica - US West of Rockies plus Alaska + Michigan; Canada (from British Columbia to Quebec plus Yukon + Northwest Territories)
Arnica fulgens Foothill arnica, orange arnica, shining leopardbane - USA= West of Rockies plus Michigan; Canada (from British Columbia to Manitoba)
cordifolia) - US (Montana, Idaho, Wyoming, Colorado, Oregon, Washington); British Columbia, Alberta, Northwest Territories
Arnica lanceolata —Arnica, lanceleaf arnica - US West of Rockies plus Alaska, Maine New Hampshire, Vermont, New York State; Canada (British Columbia, Quebec, New Brunswick)
Arnica lessingii —Nodding arnica - Kamchatka, Alaska, Yukon, Northwest Territories, British Columbia
Arnica mollis —Hairy arnica, wooly arnica - - US West of Rockies plus Alaska, New Hampshire + Vermont; Canada (from British Columbia to Quebec plus Yukon + Northwest Territories)
Arnica ovata - British Columbia Alberta,  Yukon, US West of Rockies"
Ashwagandha,Ashwagandha,"Withania somnifera, known commonly as ashwagandha, Indian ginseng, poison gooseberry, or winter cherry is a plant in the Solanaceae or nightshade family.
Although commonly used as a medicinal herb in Ayurvedic medicine, there is no conclusive clinical evidence that it is effective for treating any ailment.Withania somnifera is cultivated in many of the drier regions of India.
The apical leaves are shed and the plant gradually dies.
somnifera, ""Indian ginseng"".The plant, particularly its root powder, has been used for centuries in traditional Indian medicine.
Mainly due to the poor quality of clinical research with the plant, there is no high-quality evidence that it provides any medicinal benefit and may cause adverse effects if taken together with prescription drugs.
Dietary supplements containing ashwagandha are marketed in the U.S., but there is no evidence they have any effect.The species name somnifera means ""sleep-inducing"" in Latin."
Bacillus Coagulans,Bacillus Coagulans,"Bacillus coagulans is a lactic acid-forming bacterial species.
DNA-based technology was used in distinguishing between the two genera of bacteria which are morphologically similar and possess similar physiological and biochemical characteristics.B. coagulans is a Gram-positive rod (0.9 by 3.0 to 5.0 μm in size), catalase positive, spore-forming, motile, and a facultative anaerobe.
VP and MR (methyl-red) tests are positive.Bacillus coagulans has been added by the EFSA to their Qualified Presumption of Safety list and has been approved for veterinary purposes as GRAS by the U.S. Food and Drug Administration's Center for Veterinary Medicine, as well as by the European Union, and is listed by AAFCO for use as a direct-fed microbial in livestock production.
coagulans  is often marketed as Lactobacillus sporogenes or a 'sporeforming lactic acid bacterium' probiotic, but this is an outdated name due to taxonomic changes in 1939.
By definition, lactic acid bacteria (Lactobacillus, Bifidobacterium) do not form spores."
Bee Pollen,Bee Pollen,"Bee pollen is a ball or pellet of field-gathered flower pollen packed by worker honeybees, and used as the primary food source for the hive.
Also called bee bread, or ambrosia, it is stored in brood cells, mixed with saliva, and sealed with a drop of honey.
The Food and Drug Administration has warned against the use of some bee pollen products because they are adulterated with unapproved drugs including sibutramine and phenolphthalein.In honeybees (Apis species) pollen is stored in the chambers of the hives.
The foragers unload the pollen they gather directly into open cells located at the interface between the brood and stored honey, creating a typical band of what is called bee bread – the substance which is the main food source for honey bee larvae and workers.
Foraging bees bring pollen back to the hive, where they pass it off to other worker bees, who pack the pollen into cells with their heads."
Belladonna,Belladonna,"There is insufficient scientific evidence justifying the use of belladonna for these or any other clinical disorders.In 2010 and 2016, the US Food and Drug Administration warned consumers against the use of homeopathic teething tablets and gels containing belladonna as used for infants and children, stating that the products may be toxic, causing ""seizures, difficulty breathing, lethargy, excessive sleepiness, muscle weakness, skin flushing, constipation, difficulty urinating, or agitation"".Among the ancient folk traditions of the Romanian (Moldavian) / Ukrainian region of Bukovina in the Carpathians is the ritual for a Bukovinian girl to enhance her attractiveness by making an offering to deadly nightshade.
The common names for this species include belladonna, deadly nightshade, divale, dwale, banewort, devil's berries, death cherries, beautiful death, devil's herb, great morel, and dwayberry.Belladonna is one of the most toxic plants found, and its use by mouth increases risk in numerous clinical conditions, such as complications of pregnancy, cardiovascular diseases, gastrointestinal disorders, and psychiatric disorders, among others."
Berberine,Berberine,"Berberine is a quaternary ammonium salt from the protoberberine group of benzylisoquinoline alkaloids found in such plants as Berberis (e.g. Berberis vulgaris – barberry, Berberis aristata – tree turmeric, Mahonia aquifolium – Oregon-grape, Hydrastis canadensis – goldenseal, Xanthorhiza simplicissima – yellowroot, Phellodendron amurense – Amur cork tree, Coptis chinensis – Chinese goldthread, Tinospora cordifolia, Argemone mexicana – prickly poppy, and Eschscholzia californica – Californian poppy).
As a natural dye, berberine has a color index of 75160.The alkaloid berberine has a tetracyclic skeleton derived from a benzyltetrahydroisoquinoline system with the incorporation of an extra carbon atom provided by S-adenosyl methionine via an N-methyl group.
Formation of the berberine bridge is readily rationalized as an oxidative process in which the N-methyl group is oxidized to an iminium ion, and a cyclization to the aromatic ring occurs by virtue of the phenolic group.Reticuline is known as the immediate precursor of protoberberine alkaloids in plants."
