herb,common_names,background,know,learned,safety
Acai,"
Common Names: 
  acai, açaí","
The acai palm tree, native to tropical Central and South America, produces a deep purple fruit. The word “acai,” which comes from a language of the native people of the region, means “fruit that cries.” The acai fruit has long been an important food source for indigenous peoples of the Amazon region.
Acai products have become popular in the United States, where they have been marketed for weight-loss and anti-aging purposes.
The Federal Trade Commission has taken action against companies that marketed acai weight loss products in allegedly deceptive ways.
Acai fruit pulp has been used experimentally as an oral contrast agent for magnetic resonance imaging (MRI).
Acai products are available as juices, powders, tablets, and capsules.
","
Very little research has been done in people on the health effects of acai products.
","
There’s no definitive scientific evidence based on studies in people to support the use of acai for any health-related purpose.
No independent studies have been published in peer-reviewed journals that substantiate claims that acai alone promotes rapid weight loss. Researchers who investigated the safety profile of an acai-fortified juice in rats observed that there were no body weight changes in animals given the juice compared with animals that didn’t receive it.
A preliminary study suggested that eating acai fruit pulp might reduce blood sugar and cholesterol levels in overweight people.
Laboratory studies have focused on acai’s potential antioxidant properties, and a juice blend with acai as the main ingredient has been shown to have an antioxidant effect in people. (Antioxidants are substances that may protect cells against certain types of damage.)
","
There is little reliable information about the safety of acai as a supplement. It is widely consumed as an edible fruit or as a juice.
Consuming acai might affect MRI test results. If you use acai products and are scheduled for an MRI, check with your health care provider.
"
Aloe Vera,"
Common Names: 
  aloe vera, aloe, burn plant, lily of the desert, elephant’s gall","
Aloe vera’s use can be traced back 6,000 years to early Egypt, where the plant was depicted on stone carvings. Known as the “plant of immortality,” aloe was presented as a funeral gift to pharaohs.
Historically, aloe vera has been used for a variety of purposes, including treatment of wounds, hair loss, and hemorrhoids; it has also been used as a laxative.
Two substances from aloe vera, the clear gel and the yellow latex, are used in health products today. Aloe gel is primarily used topically (applied to the skin) as a remedy for skin conditions such as burns, frostbite, psoriasis, and cold sores, but it may also be taken orally (by mouth) for conditions including osteoarthritis, bowel diseases, and fever. Aloe latex is taken orally, usually for constipation.
","
There’s not enough evidence to show whether aloe vera is helpful for most of the purposes for which people use it.
","
Aloe latex contains strong laxative compounds. Products made with aloe were at one time regulated by the U.S. Food and Drug Administration (FDA) as over-the-counter (OTC) laxatives. In 2002, the FDA required that all OTC aloe laxative products be removed from the U.S. market or reformulated because the companies that manufactured them did not provide the safety data necessary for continued approval.
There’s some evidence that the topical use of aloe products might be helpful for symptoms of certain conditions such as psoriasis and certain rashes.
There’s not enough high-quality scientific evidence to show whether topical use of aloe helps to heal wounds.
There’s not enough scientific evidence to support aloe vera for any of its other uses.
","
Use of topical aloe vera is likely to be safe.
A 2-year National Toxicology Program study on oral consumption of nondecolorized whole leaf extract of aloe vera found clear evidence of carcinogenic activity in male and female rats, based on tumors of the large intestine. Another study in rats showed that decolorized whole leaf aloe vera did not cause harmful effects. This suggests that a component called aloin, most of which is removed by the decolorization process, may be responsible for the tumors seen in rats fed nondecolorized whole leaf aloe vera. More information, including what products are actually in the marketplace and how individuals use different types of aloe vera products, is needed to determine the potential risks to humans.
Abdominal cramps and diarrhea have been reported with oral use of aloe latex. Also, because aloe latex is a laxative, it may reduce the absorption and therefore the effectiveness of some drugs that are taken orally.
People with diabetes who use glucose-lowering medication should be cautious if also taking aloe orally because aloe may lower blood glucose levels.
There have been a few reported cases of acute hepatitis in people who took aloe vera orally. However, the evidence is not definitive.
"
Asian Ginseng,"
Common Names: 
  Asian ginseng, Chinese ginseng, Korean ginseng, Asiatic ginseng, Oriental ginseng","
Asian ginseng is native to the Far East, including China and Korea, and has been used for health-related purposes for at least 2,000 years. Asian ginseng is one of several types of ginseng (another is American ginseng, Panax quinquefolius). The terms red ginseng and white ginseng refer to Asian ginseng roots prepared in two different ways. The herb called Siberian ginseng or eleuthero (Eleutherococcus senticosus) is not related to true ginseng.
In traditional Chinese medicine, Asian ginseng was used as a tonic that was believed to replenish energy. Today, Asian ginseng is used as a dietary supplement to improve general well-being, physical stamina, and concentration; stimulate immune function; slow the aging process; and relieve various health problems such as respiratory disorders, cardiovascular disorders, depression, anxiety, erectile dysfunction, and menopausal hot flashes.
The root of Asian ginseng contains chemical components called ginsenosides (or panaxosides) that are thought to contribute to the herb’s claimed health-related properties.
","
There have been many studies of Asian ginseng in people, but few have been high quality. Therefore, our understanding of Asian ginseng’s health effects is limited.
","
There’s currently no conclusive evidence supporting any health benefits of Asian ginseng.
","
Short-term use of Asian ginseng in recommended amounts appears to be safe for most people. However, questions have been raised about its long-term safety, and some experts recommend against its use by infants, children, and women who are pregnant or breastfeeding.
The most common side effects of ginseng are headaches, sleep problems, and digestive problems.
Some evidence suggests that Asian ginseng might affect blood sugar and blood pressure. If you have diabetes or high blood pressure, consult your health care provider before using Asian ginseng.
The risk of interactions between ginseng and medications is believed to be low, but there are uncertainties about whether ginseng might interact with certain medications, such as the anticoagulant (blood thinner) warfarin (Coumadin). If you’re taking medication, consult your health care provider before using Asian ginseng.
"
Astragalus,"
Common Names: 
  astragalus, bei qi, huang qi, ogi, hwanggi, milk vetch","
Astragalus has been used for centuries in traditional Chinese medicine in combination with other herbs, such as ginseng, dong quai, and licorice.
There are more than 2,000 species of astragalus.
Astragalus has been used as a dietary supplement for many conditions, including for diarrhea, fatigue, anorexia, upper respiratory infections, heart disease, hepatitis, fibromyalgia, and as an adjunctive therapy for cancer.
The root of the astragalus plant is put in soups, teas, extracts, or capsules.
","
There are no high-quality studies in people of astragalus for any health conditions.
","
Patients with nephrotic syndrome (health problems related to kidney damage) are susceptible to infections. A 2012 research review found that taking astragalus granules may be associated with a lower risk of infections in children with nephrotic syndrome. However, the review concluded that the studies were poor quality.
People with diabetic nephropathy (a type of kidney disease) who received an intravenous drip of astragalus over a period of 2 to 6 weeks did better on some measures of kidney function, compared to people who didn’t get astragalus, according to a 2011 analysis of 25 studies. However, most of the trials involved were poor quality.
There’s weak evidence that astragalus may help heart function in some patients with viral myocarditis (an infection of the heart), a 2013 research review showed.
Because of limitations in the studies, a 2013 research review on the effects of astragalus on fatty liver disease, which causes fat to build up in liver cells, couldn’t determine whether astragalus helps.
An astragalus-based herbal formula didn’t extend the life of patients with advanced lung cancer, a small 2009 trial reported. The study was supported in part by the National Center for Complementary and Integrative Health (NCCIH).
","
Astragalus is considered safe for many adults. The most commonly reported side effects are diarrhea and other mild gastrointestinal effects. However, it may affect blood sugar levels and blood pressure and be risky for people with certain health problems, such as blood disorders, diabetes, or hypertension.
Astragalus may interact with medications that suppress the immune system, such as drugs taken by organ transplant recipients and some cancer patients.
Some astragalus species, usually not found in dietary supplements, can be toxic. Several species that grow in the United States contain the neurotoxin swainsonine and have caused “locoweed” poisoning in animals. Other species contain potentially toxic levels of selenium.
"
Bilberry,"
Common Names: 
  bilberry, European blueberry, whortleberry, huckleberry","
The bilberry bush is a relative of the blueberry and is native to many areas, including the Rocky Mountains and regions of Europe and Asia.
Its berries and leaves have been used for medicinal purposes since the Middle Ages for a variety of conditions, including diarrhea, scurvy, infections, burns, and diabetes. During World War II, British pilots ate bilberry jam, thinking it would improve their night vision.
Today, bilberry is used as a dietary supplement for cardiovascular conditions, diarrhea, urinary tract infections, eye problems, diabetes, and other conditions.
Bilberry extract is sold in tablets, capsules, and drops, and the berries are sold dried and as a powder. The leaves are made into teas.
","
We have very few high-quality clinical trials (studies in people) of bilberry supplements.
","
There’s not enough scientific evidence to support the use of bilberry for any health conditions.
Researchers are interested in bilberry in large part because its berries have a high concentration of antioxidants called anthocyanins, which some studies suggest may have health benefits.
","
Bilberry fruit is considered safe when consumed in amounts typically found in foods, or as an extract in recommended doses for brief periods of time.
Bilberry leaves may be unsafe when taken orally (by mouth) in high doses or for long periods of time.
"
Bitter Orange,"
Common Names: 
  bitter orange, Seville orange, sour orange, zhi shi","
Native to eastern Africa and tropical Asia, bitter orange now is grown throughout the Mediterranean region and elsewhere, including California and Florida.
Bitter orange has been used in traditional Chinese medicine and by indigenous people of the Amazon rainforest for constipation. Amazonian natives also used it for nausea and indigestion.
Today, people use various bitter orange products as a dietary supplement for heartburn, loss of appetite, nasal congestion, and weight loss. It is also applied to the skin for pain, bruises, and bed sores.
Bitter orange, used in some weight-loss products, contains synephrine, which is similar to the main chemical in the herb ephedra. Ephedra is banned by the U.S. Food and Drug Administration because it raises blood pressure and is linked to heart attack and stroke.
The National Collegiate Athletic Association (NCAA) placed synephrine (bitter orange) on its current list of banned drugs.
The fruit, peel, flower, and oil are used and can be taken by mouth in tablets and capsules. Bitter orange oil can be applied to the skin.
","
Only a few studies have investigated the usefulness of bitter orange as a dietary supplement for health purposes in people.
","
Applying bitter orange oil to the skin may help with ringworm, jock itch, and athlete’s foot infections.
There’s not enough scientific evidence to support the use of bitter orange for other health purposes.
","
There are case reports of healthy people experiencing fainting, heart attack, and stroke after taking bitter orange alone or with caffeine. However, evidence regarding the effects of bitter orange (alone or combined with other substances, such as caffeine and green tea) on the heart and cardiovascular system are inconclusive.
Because products that contain bitter orange may be unsafe, pregnant women and nursing mothers should avoid them.
"
Black Cohosh,"
Common Names: 
  black cohosh, black snakeroot, macrotys, bugbane, bugwort, rattleroot, rattleweed",How Much Do We Know?,What Have We Learned?,What Do We Know About Safety?,Keep in Mind
Butterbur,"
Common Names: 
  butterbur, petasites, purple butterbur. There are also several standardized butterbur extracts, such as Petadolex.","
Butterbur is a shrub that grows in Europe and parts of Asia and North America, typically in wet, marshy ground. The name, butterbur, is attributed to the traditional use of its large leaves to wrap butter in warm weather.
In the Middle Ages, butterbur was used for plague and fever, and in the 17th century it was used to treat cough, asthma, and skin wounds. More recently, it has been used for urinary tract symptoms, stomach upset, headaches including migraines, allergic rhinitis (hay fever), and other conditions.
Commercial butterbur products that contain extracts from the root, rhizome (underground stem), or leaves of the plant are available. Raw, unprocessed butterbur products, such as teas, should not be used because they contain harmful substances.
","
There have been a few studies of butterbur for migraines and allergic rhinitis (hay fever) in people, so we have some knowledge of its effects on these two conditions.
","
Based on two high-quality studies, the American Academy of Neurology and the American Headache Society have endorsed the use of a butterbur extract made from underground parts of the plant, like the root or rhizome, to reduce the frequency of migraines.
Some studies of butterbur root or leaf extracts suggest that they may be helpful for symptoms of hay fever (allergic rhinitis).
Butterbur has not been proven to be helpful for allergic skin reactions or asthma.
","
The raw, unprocessed butterbur plant contains chemicals called pyrrolizidine alkaloids (PAs). PAs can cause liver damage and can result in serious illness. Only butterbur products that have been processed to remove PAs and are labeled or certified as PA-free should be used.
Several studies, including a few studies of children and adolescents, have reported that PA-free butterbur products are safe and well tolerated when taken by mouth in recommended doses for up to 16 weeks. The safety of longer-term use has not been established.
Butterbur is usually well tolerated but can cause side effects such as belching, headache, itchy eyes, diarrhea, breathing difficulties, fatigue, and drowsiness.
Butterbur may cause allergic reactions in people who are sensitive to plants such as ragweed, chrysanthemums, marigolds, and daisies.
Butterbur should only be given to children under the supervision of a qualified health practitioner.
"
Cat's Claw,"
Common Names: 
  cat’s claw, uña de gato","
Cat’s claw is a woody vine that grows wild in the Amazon rainforest and other tropical areas of Central and South America. Its thorns resemble a cat’s claws.
The two most common species are U. tomentosa and U. guianensis. Most commercial preparations of cat’s claw contain U. tomentosa.
Using cat’s claw for health dates back to the Inca civilization. Its historical uses have included for contraception, inflammation, cancer, and viral infections, and to stimulate the immune system.
Today, cat’s claw is used as a dietary supplement for a variety of health conditions including viral infections (such as herpes and HIV), Alzheimer’s disease, cancer, arthritis, diverticulitis, peptic ulcers, colitis, gastritis, hemorrhoids, parasites, and leaky bowel syndrome.
The bark and root of cat’s claw are used to make liquid extracts, capsules, tablets, and tea.
","
There have been very few high quality clinical trials (studies done in people) of cat’s claw.
","
There’s no conclusive scientific evidence based on studies in people that supports using cat’s claw for any health purpose.
","
Few side effects have been reported for cat’s claw when taken in small amounts.
Women who are pregnant or trying to become pregnant should avoid using cat’s claw because of its past use for preventing and aborting pregnancy.
"
Chamomile,"
Common Names: 
  chamomile, German chamomile","
There are two types of chamomile: German chamomile and Roman chamomile. This fact sheet focuses on German chamomile.
Chamomile was described in ancient medical writings and was an important medicinal herb in ancient Egypt, Greece, and Rome.
Today, chamomile is used as a dietary supplement for sleeplessness, anxiety, and gastrointestinal conditions such as upset stomach, gas, and diarrhea. It is also used topically for skin conditions and for mouth sores resulting from cancer treatment.
The flowering tops of the chamomile plant are used to make teas, liquid extracts, capsules, or tablets. The herb can also be applied to the skin as a cream or an ointment, or used as a mouth rinse.
","
Not much is known about the health effects of chamomile because it has not been well studied in people.
","
Some preliminary studies suggest that a chamomile dietary supplement might be helpful for generalized anxiety disorder.
Some research has found that products containing certain combinations of herbs that include chamomile may be of benefit for upset stomach, for diarrhea in children, and for infants with colic. But chamomile alone has not been shown to be helpful for these conditions.
","
There have been reports of allergic reactions, including rare cases of anaphylaxis (a life-threatening allergic reaction), in people who have consumed or come into contact with chamomile products.
People are more likely to experience allergic reactions to chamomile if they’re allergic to related plants such as ragweed, chrysanthemums, marigolds, or daisies.
Interactions between chamomile and cyclosporine (a drug used to prevent rejection of organ transplants) and warfarin (a blood thinner) have been reported, and there are theoretical reasons to suspect that chamomile might interact with other drugs as well. Talk to your health care provider before taking chamomile if you’re taking any type of medicine.
"
