,name_used,summary
Acai,Açaí palm,"The açaí palm (, Portuguese: [asaˈi] (listen), from Nheengatu asai), Euterpe oleracea, is a species of palm tree (Arecaceae) cultivated for its fruit (açaí berries, or simply açaí), hearts of palm (a vegetable), leaves, and trunk wood.
In a study of three traditional Caboclo populations in the Brazilian Amazon, açaí palm was described as the most important plant species because the fruit makes up a major component of their diet, up to 42% of the total food intake by weight.In North America, açaí is commonly sold in ""açaí bowls"", a combination of frozen açaí puree or açaí powder with other ingredients, such as nut milk, fruit juice, fruit, nuts, oatmeal, and sweeteners.
Tree trunks may be processed to yield dietary minerals.Comprising 80% of the fruit mass, açaí seeds may be ground for livestock food or as a component of organic soil for plants."
Aloe Vera,Aloe Vera,"In areas that receive frost or snow, the species is best kept indoors or in heated glasshouses.There is large-scale agricultural production of Aloe vera in Australia, Bangladesh, Cuba, the Dominican Republic, China, Mexico, India, Jamaica, Spain, where it grows even well inland, Kenya, Tanzania and South Africa, along with the USA to supply the cosmetics industry.Media related to Aloe vera at Wikimedia CommonsAloe vera is a stemless or very short-stemmed plant growing to 60–100 cm (24–39 in) tall, spreading by offsets.
Like other Aloe species, Aloe vera forms arbuscular mycorrhiza, a symbiosis that allows the plant better access to mineral nutrients in soil.Aloe vera leaves contain phytochemicals under study for possible bioactivity, such as acetylated mannans, polymannans, anthraquinone C-glycosides, anthrones, and other anthraquinones, such as emodin and various lectins.Although there is little scientific evidence of the effectiveness or safety of Aloe vera extracts for either cosmetic or medicinal purposes, the cosmetics and alternative medicine industries regularly make claims regarding the soothing, moisturizing, and healing properties of aloe vera."
Asian Ginseng,Asian Ginseng,"Panax ginseng, the ginseng, also known as Asian ginseng, Chinese ginseng, or Korean ginseng, is a species of plant whose root is the original source of ginseng.
It is a perennial plant that grows in the mountains of Eastern Asia.Panax ginseng is one of the most commonly cultivated ginseng species, along with  P.
notoginseng (grown naturally in China), P.
ginseng (grown naturally in China and South Korea), and P.
quinquefolius.Ginseng is used as an herb in folk medicine.Panax ginseng is called Rén shēn (人蔘; lit.
ginseng) in Chinese and insam (인삼) in Korean.American ginsengPanax ginseng is native to mountainous regions of Russian Far East, Northeastern China, and the Korean Peninsula.
It is a protected plant in Russia and China, and most commercial ginseng is now sourced from plants cultivated in China, Korea and Russia.
The plant is a slow-growing perennial and the roots are usually harvested when the plants are five or six years old."
Astragalus,Astragalus,"Some pale-flowered vetches (Vicia spp.) are similar in appearance, but they are more vine-like than Astragalus.Astragalus species are used as food plants by the larvae of some Lepidoptera species including many case-bearing moths of the genus Coleophora: C.
The calyx is tubular or bell-shaped.The genus was formally described in 1753 by Carl Linnaeus in his Species Plantarum.The name Astragalus is Greek, an old name for this group of plants which were believed to have a positive effect on goat milk production.Astragalus has been used in traditional Chinese medicine over centuries to treat various disorders, but there is no high-quality evidence it is effective or safe for any medical purpose.Although astragalus supplements are generally well tolerated, mild gastrointestinal upset, diarrhea, and allergic reactions may occur.
Some astragalus species may contain high levels of selenium, possibly causing toxicity.Extracts of astragalus root include diverse phytochemicals, such as saponins and isoflavone flavonoids, which are purported in traditional practices to increase lactation in nursing mothers."
Bilberry,Bilberry,"Bilberries, or occasionally European blueberries, are a primarily Eurasian species of low-growing shrubs in the genus Vaccinium (family Ericaceae), bearing edible, dark blue berries.
Fruits are mostly collected from wild plants growing on publicly accessible lands throughout northern and central Europe, where they are plentiful – for example, up to a fifth (17–21%) of the land area of Sweden contains bilberry bushes.
Bilberry is used as a food plant by the larvae of some Lepidoptera species (see the list of Lepidoptera that feed on Vaccinium).The fruits are eaten fresh or made into jams, fools, juices or pies.
There have been severe outbreaks in Staffordshire, England.Bilberries – which are native to Europe – are different from North American blueberries, although the species are closely related and belong to the same genus, Vaccinium.
The high anthocyanin content may cause staining of the fingers, lips, and tongue of consumers.Bilberries include several closely related species of the genus Vaccinium, including:"
Bitter Orange,Bitter Orange,"Bitter orange, Seville orange, sour orange, bigarade orange, or marmalade orange refers to a citrus tree (Citrus × aurantium) and its fruit.
The dried peels are used in the creation of Curaçao liqueur.While the raw pulp is not edible, Seville orange (or bigarade) is a widely known, particularly tart orange which is now grown throughout the Mediterranean region.
Iraqis also consume it as a citrus fruit or juice it to make bitter orange juice ""'aseer raranj"".
The Seville orange variety is used in the production of marmalade and also used to make French bigarade sauce.Bitter orange is also employed in herbal medicine as a stimulant and appetite suppressant, due to its active ingredient, synephrine.
Bitter orange supplements have been linked to a number of serious side effects and deaths, and consumer groups advocate that people avoid using the fruit medically."
Black Cohosh,Black Cohosh,"Although its extracts are manufactured as herbal medicines and dietary supplements, black cohosh is not well-studied or recommended for safe and effective use in treating menopause symptoms or any disease.A. racemosa grows in dependably moist, fairly heavy soil.
It has gained the Royal Horticultural Society's Award of Garden Merit.Black cohosh contains diverse phytochemicals, such as polyphenols and estrogen-like compounds (isoflavones) implicated in effects of black cohosh extracts on hot flashes in menopausal women, although there is no effect confirmed by high-quality clinical research.National Institutes of Health (NIH) ""Workshop on the Safety of Black Cohosh in Clinical Studies""  November 2004.pdfBlack cohosh is a smooth (glabrous) herbaceous perennial plant that produces large, compound leaves from an underground rhizome, reaching a height of 25–60 cm (9.8–23.6 in)."
Butterbur,Butterbur,"The fruits (in this case called achenes) may be smooth or hairy, winged, nobby or have hooked spines.The most common uses of Ranunculus species in traditional medicines are anti-rheumatism, intermittent fever and rubefacient.
Not all taxonomists and users accept this splitting of the genus, and it can alternatively be treated in the broad sense.Ranunculus abortivus – littleleaf buttercup
Ranunculus aconitifolius – aconite-leaf buttercup
Ranunculus acris – meadow buttercup
Ranunculus amphitrichus – small river buttercup
Ranunculus asiaticus – Persian buttercup
Ranunculus auricomus – Goldilocks buttercup (type species)
Ranunculus bulbosus – bulbous buttercup
Ranunculus bullatus - autumn buttercup
Ranunculus eschscholtzii – alpine buttercup
Ranunculus flabellaris – yellow water buttercup
Ranunculus gmelinii – Gmelin's buttercup or small yellow water-crowfoot
Ranunculus inundatus – river buttercup
Ranunculus longirostris – water buttercup
Ranunculus macranthus – large buttercup
Ranunculus papulentus – large river buttercup
Ranunculus platanifolius – large white buttercup
Ranunculus populago – popular buttercup
Ranunculus repens – creeping buttercup
Ranunculus thora – Thora buttercup"
Cat's Claw,Cat's Claw,"Cat's claw or cat's claws (also uña de gato or unha de gato in Spanish or Portuguese) is a common name for several plants:

Acacia greggii, a tree species native to the southwestern United States and northern Mexico
Acacia plumosa, a plant species native to Brazil
Carpobrotus edulis, or uña de gato (Spanish: ""cat's claw""), a plant species in the Aizoaceae family
Dolichandra unguis-cati, or cat's claw creeper, a Central American climbing vine of the Bignoniaceae family
Grevillea alpina, a shrub species native to Australia
Martynia annua, a plant species endemic to Brazil
Mimosa nuttallii (formerly Schrankia nuttalli), a plant native to the Midwestern United States
Uncaria guianensis, a plant species found in Guyana and used in traditional medicine
Uncaria rhynchophylla, a plant species used in traditional Chinese medicine
Uncaria tomentosa, a plant species found in the tropical jungles of South and Central America and used in traditional medicine"
Chamomile,Chamomile,"Chamomile (American English) or camomile (British English; see spelling differences) ( KAM-ə-myl or KAM-ə-meel) is the common name for several daisy-like plants of the family Asteraceae.
Two of the species are commonly used to make herbal infusions for traditional medicine, although there is no evidence that chamomile has any effect on health or diseases.Chamomile has historically been used in beer .
When used as an herbal product, such as in tea or as a topical skin cream, chamomile is not likely to have significant health effects or major side effects.PLANTS Profile: Anthemis tinctoria L.
Chamaemelum nobile, Roman, English or garden chamomile, also frequently used, (C.
This does not mean they are used in the same manner as the species used in the herbal tea known as ""chamomile"".
Plants including the common name ""chamomile"", of the family Asteraceae, are:
Chamaemelum nobile, Roman Chamomile"
