,name_used,summary
Abrus Precatorius L.,Abrus Precatorius L.,"This is done by means of small spikes, called sui (needles) or sutari (awls), which are prepared by soaking the awl in a thin paste of the water-soaked, pounded seeds, and then drying the weapon in the sun, after which it is oiled and sharpened upon stone, affixed in a handle, and then used to puncture the skin of the animal.
Once Abrus precatorius plants have grown to maturity under favourable conditions, their deep roots are extremely difficult to remove, and the plants' aggressive growth, hard-shelled seeds, and ability to sucker, renders an infestation extremely difficult to eradicate and makes it very difficult to prevent re-infestation.
Under the name of ""Jequirity"" the seeds have recently been employed in cases of ophthalmia, a use to which they have long been put in India and Brazil.""The plant is also used in Ayurveda and is said to promote hair growth.
Arima, Trinidad.The seeds of Abrus precatorius are very consistent in weight."
Actinidia Chinensis Planch,Actinidia Chinensis Planch,"Actinidia chinensis (Planch.) is a fruit producing vine, one of some 40 related species of the genus, Actinidia, native to China.
A. chinensis is a variety closely related to Actinidia deliciosa – and is the source of the common commercial kiwifruit.
Fruit colour may vary from green to lime green or gold, depending on breeding.The fruits – about the size of a chicken egg – are edible, providing a rich source of vitamin C and dietary fiber.The origin of Actinidia chinensis is from Hubei or Sichuan, China exported to New Zealand in 1904.
One of the most attractive varieties has a red 'iris' around the centre of the fruit and yellow flesh outside.
A commercially viable variety of this red-ringed kiwifruit, patented as EnzaRed, is a cultivar of the Chinese hong yang variety.'Hort16A' is a golden kiwifruit cultivar marketed worldwide, first as Zespri Gold, then as SunGold."
Aloe,Aloe,"Aloe ( , ), also written Aloë, is a genus containing over 500 species of flowering succulent plants.
Unprocessed aloe that contains aloin is generally used as a laxative, whereas processed juice does not usually contain significant aloin.Some species, particularly Aloe vera, are used in alternative medicine and first aid.
They say ""there is currently no evidence that aloe products can help to prevent or treat cancer in humans"".Aloe rubrolutea occurs as a charge in heraldry, for example in the Civic Heraldry of Namibia.The APG IV system (2016) places the genus in the family Asphodelaceae, subfamily Asphodeloideae.
Species at one time placed in Aloe, such as Agave americana, have been moved to other genera.
Some aloes native to South Africa are tree-like (arborescent).List of Aloe species
OCLC 897036340.Over 500 species are accepted in the genus Aloe, plus even more synonyms and unresolved species, subspecies, varieties, and hybrids."
Ardisiae japonicae,Ardisiae japonicae,"Ardisia japonica, known as marlberry, is a species of Ardisia native to eastern Asia, in eastern China, Japan and Korea.A number of cultivars have been selected for growing as ornamental plants, including 'Hakuokan' and 'Ito Fukurin' with variegated leaves, 'Hinotsukasa', with pale cream-coloured leaves, and 'Matsu Shima' with pink stems and variegated leaves.Ardisia japonica Chemical Compounds (Dr. Duke's Databases)It is a low-growing, spreading very quickly evergreen shrub 20–40 cm tall.
The flowers are 4–10 mm diameter, with five (rarely six) white to pale pink petals; they are produced in racemes in late spring.
The fruit is a drupe 5–6 mm diameter, red maturing dark purple-black in early winter.It has escaped from cultivation and established itself in the wild in the United States, in Gainesville, Florida.It is used as a medicinal plant in traditional Chinese medicine, where it is called zǐjīn niú (Chinese: 紫金牛), or aidicha (矮地茶) and is considered one of the 50 Fundamental Herbs.Large doses of the plant as medicine can be toxic to the kidneys.Chinese herbology
Ardisia crenata, (waxy leaves and red berries) also known as coral bush, coralberry tree, or spiceberry."
Areca Catechu L.,Areca Catechu L.,"The palm is believed to have originated in the Philippines, but is widespread in cultivation and is considered naturalized in southern China (Guangxi, Hainan, Yunnan), Taiwan, India, Bangladesh, the Maldives, Ceylon, Cambodia, Laos, Thailand, Vietnam, Malaysia, Indonesia, New Guinea, many of the islands in the Pacific Ocean, and also in the West Indies.The species has many common names including the areca palm, areca nut palm, betel palm, Indian nut, Pinang palm, Chinese language/Mandarin: 檳榔, Tamil:  கமுகு, Tagalog: bunga, Indonesia/Malay: pinang, Tamil: கமுகு ""kamuhu"", Telugu: ""వక్క or vakka"", Malayalam:adakka, and Kannada: ಅಡಕೆ or ಅಡಿಕೆ Adike.
Areca is derived from a local name from the Malabar Coast of India, and catechu is from another Malay name for this palm, caccu.The areca nut is also popular for chewing throughout some Asian countries, such as China, Taiwan, Vietnam, the Philippines, Malaysia, Myanmar, and India and the Pacific, notably Papua New Guinea, where it is very popular.
Areca palms are grown in Bangladesh, India, Indonesia, Malaysia, Taiwan and many other Asian countries for their seeds."
Benincasae Semen,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" or ""藜"" is usually substituted in Japanese.
The ""勿"" in ""藜"" should be replaced with ""刂"".The World of KampoTsumura Herb Handbook (in Japanese)
(ISBN 0-939616-42-4) Eastland Press Herb List Arranged by Pinyin
""Learner's Disney Character Dictionary of Chinese Medicine""Kampo list
Chinese classic herbal formula"
Benzoinum,Benzoin (organic compound),"Benzoin ( or ) is an organic compound with the formula PhCH(OH)C(O)Ph.
Benzoin is synthesized from benzaldehyde in the benzoin condensation.
The main component in these natural products is benzoic acid.The main uses of benzoin are as a precursor to benzil, which is a photoinitiator.
The conversion proceeds by organic oxidation using copper(II), nitric acid, or oxone.
In one study, this reaction is carried out with atmospheric oxygen and basic alumina in dichloromethane.Benzoin can be used in the preparation of several pharmaceutical drugs including oxaprozin, ditazole, and phenytoin.Benzoin synthesis, Organic Syntheses, Coll.
33 (1921)Benzoin is prepared from benzaldehyde via the benzoin condensation.Benzoin was first reported in 1832 by Justus von Liebig and Friedrich Woehler during their research on oil of bitter almond, which is benzaldehyde with traces of hydrocyanic acid.
The catalytic synthesis by the benzoin condensation was improved by Nikolay Zinin during his time with Liebig."
Bombyx Mori L.,Bombyx Mori L.,"Sericulture, the practice of breeding silkworms for the production of raw silk, has been under way for at least 5,000 years in China, whence it spread to India, Korea, Japan, and the West.
mandarina can still breed and sometimes produce hybrids.Domestic silkmoths are very different from most members in the genus Bombyx; not only have they lost the ability to fly, but their color pigments have also been lost.In the U.S., teachers may sometimes introduce the insect life cycle to their students by raising domestic silkmoths in the classroom as a science project.
The major objectives are improving fecundity (the egg-laying capacity of a breed), the health of larvae, quantity of cocoon and silk production, and disease resistance.
At least 70 million pounds of raw silk are produced each year, requiring nearly 10 billion cocoons.The full genome of the domestic silkmoth was published in 2008 by the International Silkworm Genome Consortium."
Borneolum syntheticum,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Broussonetiae Fructus,Diplodia,Diplodia is a genus of anamorphic fungi in the family Botryosphaeriaceae.Index Fungorum
